1. ['巧克力', '「喵～好高！好高喔主人！喵哈哈哈哈──！」']
83. ['None', '能看到巧克力跟香草这么开心的模样，']
84. ['None', '也不枉我硬排出休假带她们两个出来玩了。']
85. ['巧克力', '「可是，现在明明是正忙的时期……真的没关系吗？」']
86. ['香草', '「而且主人最近好像很累的样子……」']
87. ['嘉祥', '「是啊。就因为最近很累，才会带妳们出来转换心情嘛。」']
88. ['嘉祥', '「所以妳们两个别在意那么多，」']
89. ['嘉祥', '「猫娘就要有猫娘的样子，妳们只管好好玩就好了啦。」']
90. ['None', '我大力在露出担心眼神的两只猫娘头上搓了搓。']
91. ['巧克力', '「喵！主人不可以搓人家的的头啦～！」']
92. ['香草', '「喵……！难得弄好的发型都被弄乱了……！」']
93. ['女孩子', '「哇，妈妈妳看！是百景岛的猫娘耶～好可爱～！」']
94. ['女孩子', '「欸～欸～，大哥哥！我可以拍猫娘吗？」']
95. ['嘉祥', '「啊，不好意思，她们不是百景岛的猫娘……」']
96. ['母亲', '「对不起！我们家的女儿太失礼了……！」']
97. ['母亲', '「不可以给人家添麻烦，这两只猫娘姊姊不是游乐园的猫娘喔？」']
98. ['巧克力', '「没关系啦，尽量拍～♪难得有这个机会，要不要一起合照？」']
99. ['香草', '「啊，我的头发刚刚才被主人弄乱，让我整理一下。」']
100. ['母亲', '「咦，真的可以吗？可是……」']
101. ['None', '小女孩的母亲看著我的眼神中带著些许歉意。']
102. ['嘉祥', '「没关系啦，既然本人都这么说了。」']
103. ['巧克力', '「人家都称赞我们可爱了，拍个几张照片没问题的啦！」']
104. ['香草', '「啊，还得把纪念照寄给时雨才行呢。主人，用手机帮我们照几张吧。」']
105. ['嘉祥', '「……所以，」']
106. ['嘉祥', '「待会能麻烦也帮我们拍一张吗？」']
107. ['母亲', '「好的。既然这样的话，那我们就不客气了。」']
108. ['女孩子', '「哇──谢谢妳们，猫娘姊姊！」']
109. ['女孩子', '「妈妈，电话借我！我要拍好多照片回去～！」']
110. ['巧克力', '「来，不靠近一点就没办法入镜啰？靠过来靠过来♪」']
111. ['香草', '「那么我就特别提供一次抱抱服务吧。可别小看猫娘的力气喔。」']
112. ['巧克力', '「喔，不错不错～！就照这样继续拍更多照片吧！来，笑一个！」']
113. ['香草', '「那接下来换我当摄影师啰？看我的记者式超连拍。」']
114. ['嘉祥', '「……真叫人意外。」']
115. ['None', '在我面前的时候明明就跟小孩子没两样。']
116. ['None', '或许猫娘也有所谓的母性本能吧？']
117. ['None', '见到两人和小女孩一起玩耍的温馨模样，']
118. ['None', '我总觉得现在的巧克力和香草看起来好像比平常要来得成熟一点点。']
119. ['香草', '「主人要好好拍喔。这可是今天的珍贵回忆。」']
120. ['巧克力', '「就是说啊。今天对我们两个来说可是值得纪念的大日子呢♪」']
121. ['嘉祥', '「好好好。笑一个笑一个。」']
122. ['巧克力', '「啊──！主人你这样太随便了啦！」']
123. ['巧克力', '「拍照的时候要放进更多爱情啦！」']
124. ['香草', '「这种随便的态度很不好。非常不好。」']
125. ['香草', '「据说一个不懂得替模特儿著想的摄影师是绝对拍不出好照片的。」']
126. ['嘉祥', '「要拍下一张啦～别忘了微笑～」']
127. ['巧克力', '「真是的──主人！爱情！我们要更多爱情！！」']
128. ['香草', '「主人一点也不懂女人心。对此我只能深表遗憾。」']
129. ['None', '由于她们俩闹脾气的模样实在太可爱，害我忍不住想整整她们。']
130. ['None', '……多么甜蜜的时间啊。']
131. ['None', '不过会这么想就表示我自己也很乐在其中吧。']
132. ['女孩子', '「啊哈哈，猫娘姊姊闹别扭的样子也好可爱～♪」']
133. ['巧克力', '「喵喵！？不可以在这种时后偷拍啦～！」']
134. ['香草', '「太大意了……！这可是侵犯猫娘肖像权的行为喵……！」']
135. ['女孩子', '「猫娘姊姊很可爱所以没关系啦～」']
136. ['女孩子', '「来，笑一个笑一个～♪」']
137. ['巧克力', '「都说现在不行了嘛～！」']
138. ['香草', '「必杀，猫娘微笑。（露出笑容）」']
139. ['女孩子', '「呀～好可爱～♪看这边嘛～♪」']
140. ['母亲', '「不好意思打扰到你们约会的时间，」']
141. ['母亲', '「今天真的很谢谢你们。那我们先告辞了。」']
142. ['女孩子', '「猫娘姊姊拜拜～谢谢妳们～！」']
143. ['巧克力', '「喵～真开心♪」']
144. ['香草', '「虽然中途发生了一些丢脸的事，不过大家有高兴到就好。」']
145. ['巧克力', '「小朋友果然很可爱呢～」']
146. ['香草', '「小朋友的天真无邪连我们猫娘都没辄。」']
147. ['嘉祥', '「……看起来果然很像在约会呢。」']
148. ['None', '在把照片寄给时雨的同时，我又重新体会到了这点。']
149. ['None', '虽然说我们今天确实是出来约会就是了。']
150. ['None', '当然，我一点也没有觉得不高兴，']
151. ['None', '只是被人家这么一点破……']
152. ['None', '该怎么说，总之就是让人开始会去在意周围的眼光。']
153. ['None', '是说我也很清楚自己平常绝对不会浮现什么『甜蜜时光』的念头就是……']
154. ['巧克力', '「喵～喵～♪主人～♪」']
155. ['巧克力', '「别在那边偷笑了啦，我们快点到下一个地方去吧！」']
156. ['嘉祥', '「咦？偷笑……？」']
157. ['香草', '「看主人嘴角扬得半天高，好像惠比须神一样。」']
158. ['香草', '「虽然看起来好像带点邪念就是了。」']
159. ['嘉祥', '「什么邪念，我才没有……！」']
160. ['巧克力', '「啊哈哈，有什么好害羞的嘛～♪」']
161. ['香草', '「反正我们早就知道主人色到不行了。」']
162. ['嘉祥', '「……妳们自己还不是一样。」']
163. ['巧克力', '「对呀～这点我们根本没办法否定呢♪」']
164. ['香草', '「人家说宠物会像主人，所以没办法。」']
165. ['None', '两只猫娘突然从两旁抱住我的手，而且笑容还变得比刚才更灿烂。']
166. ['None', '……面对我的反驳居然连否定都不否定，']
167. ['None', '没想到猫娘成长之后会有这么大的改变……']
168. ['None', '一边想著这些事，我一边努力忍著不要再像刚才一样笑出来。']
169. ['None', '只可惜我稍微一松懈，嘴角马上就又上扬起来了。']
170. ['巧克力', '「像一点也没什么不好啊～♪」']
171. ['巧克力', '「那，接下来要去坐比较不刺激的设施吗？」']
172. ['香草', '「反正现在才刚过中午，时间还有很多。」']
173. ['香草', '「今天可不准主人用『累了』这种借口来敷衍我们喔。」']
174. ['嘉祥', '「妳们两个才别跟我喊累喔？」']
175. ['嘉祥', '「今天一整天的时间可是特地为了妳们空出来的呢。」']
176. ['巧克力', '「喵～♪主人真可靠～♪」']
177. ['香草', '「嘻嘻，今天的主人特别强势呢。走吧走吧～♪」']
178. ['None', '……看来我乐在其中的程度真的不输她们俩呢。']
179. ['None', '两只猫娘就这么一人挽著我一边的手，']
180. ['None', '跟我一起朝著游乐园内部走去。']
181. ['巧克力', '「呜哇，好大喔……！水槽！水槽超大的！」']
182. ['香草', '「不得了……！这就是海底隧道……！有鱼从头上通过耶……！」']
183. ['巧克力', '「啊，那边！香草妳看那边！」']
184. ['巧克力', '「是白海豚，是白海豚耶──！」']
185. ['香草', '「喔喔……真的好白！白的好像燃烧殆尽一样……！」']
186. ['香草', '「连颜色都跟我的头发好像，超可爱……！」']
187. ['巧克力', '「真的跟布偶一模一样耶！巧克力现在超感动的！」']
188. ['嘉祥', '「妳们两个，走路不看脚边很容易跌倒喔～」']
189. ['巧克力', '「看那边有鲨鲸！有鲨鲸在游耶！」']
190. ['巧克力', '「好大只喔──！而且旁边还围了好多鱼！」']
191. ['香草', '「鲨鲸超大的……！我从来没看过这么大的生物……！」']
192. ['香草', '「我猜跟在下面的一定是社员……！」']
193. ['香草', '「可惜主人买给我们的布偶没有社员跟在后面……」']
194. ['None', '两只猫娘只顾盯著眼前的水槽看，完全没把我的忠告听进耳里。']
195. ['None', '不过，由于上头有阳光照耀，']
196. ['None', '所以整个隧道里的景色可说是既神秘又耀眼。']
197. ['None', '正如『海中散步』的宣传词一般，']
198. ['None', '这片令人感到犹如身处海底的隧道景象确实有它引人入胜之处。']
199. ['巧克力', '「主人！你看那条鱼！那是什么鱼啊！？」']
200. ['嘉祥', '「我看看，看板上写的是『蓝绿光鳃鱼』。」']
201. ['巧克力', '「蓝绿光鳃鱼！牠叫蓝绿光鳃鱼耶，香草！」']
202. ['香草', '「蓝绿光鳃鱼。我记住了。完美。」']
203. ['None', '不用记住没关系啦。']
204. ['None', '我一边在心里吐槽，一边默默欣赏著两只猫娘的兴奋模样。']
205. ['巧克力', '「我们还是第一次到游乐园跟水族馆来玩，所以超开心的！」']
206. ['巧克力', '「真的、真的、真的超开心的喔，主人！」']
207. ['香草', '「我也是。主人可能看不出来，不过这可是我猫生中数一数二玩得高兴的一次。」']
208. ['香草', '「所以主人在我心中的地位从一早就已经涨停板到现在。超感谢。」']
209. ['嘉祥', '「啊啊，毕竟妳们两个有好好努力拿到带铃猫资格嘛。好乖好乖。」']
210. ['巧克力', '「嗯！那时候有好好努力真是太好了！」']
211. ['香草', '「不仅帮上店里的忙，还可以像这样出来玩，有铃铛真棒。超棒的。」']
212. ['None', '同时，两人脖子上的金色与银色铃当也轻轻响了响。']
213. ['None', '早知道她们会这么高兴，']
214. ['None', '应该早点带她们出来玩才对。']
215. ['None', '虽然说这阵子实在忙到几乎没有半点空闲，']
216. ['None', '想带她们出门也没办法就是了……']
217. ['巧克力', '「哇，你们看你们看！主人！香草！」']
218. ['巧克力', '「是鲔鱼耶，鲔鱼！好多鲔鱼游过来了！！」']
219. ['香草', '「好大……！好壮观……！速度超快的……！！」']
220. ['嘉祥', '「的确是绝景呢。」']
221. ['None', '不过，为了巧克力和香草，今后可得再更加油点才行了……']
222. ['None', '不，只要是为了她们两个，再辛苦我都能甘之如饴。']
223. ['None', '这可是我的真心话。']
224. ['巧克力', '「看起来好新鲜，好好吃的样子……♪（流口水）」']
225. ['香草', '「令人联想起鲔鱼肚。一想到这口水都要流出来了……♪（流口水）」']
226. ['嘉祥', '「这种只有猫才会有的感想就不用说的那么大声了啦。」']
227. ['None', '……这两个小家伙骨子里果然还是猫嘛。']
228. ['None', '看见两只猫娘不停用手帕擦著嘴角的模样，我不禁这么想。']
229. ['巧克力', '「喵～玩得真开心～♪」']
230. ['巧克力', '「这种安静的行程，也很有约会的感觉呢喵。」']
231. ['香草', '「水族馆真是太棒了……令人想要回归大海的怀抱……」']
232. ['嘉祥', '「还想来的话下次我再带妳来，拜托妳可别染上什么危险思想啊。」']
233. ['None', '我连忙往一脸陶醉的香草脸上拍了拍。']
234. ['None', '……她应该不是说真的吧？']
235. ['巧克力', '「主人˙，我去一下洗手间可以吗？」']
236. ['香草', '「啊，那我也一起去。」']
237. ['嘉祥', '「知道了，那我在这里等妳们吧。」']
238. ['巧克力', '「好～那这个就麻烦主人啰♪」']
239. ['香草', '「主人，麻烦你了。」']
240. ['嘉祥', '「OK～妳们可以慢慢来没关系。」']
241. ['None', '接过行李后，我便目送著她们俩跑向厕所。']
242. ['嘉祥', '「……厕所看起来要排上一阵子，还是找个地方坐著等好了。」']
243. ['None', '我开始环顾四周，寻找有没有空出来的长椅。']
244. ['工作人员', '「喜欢布偶吗？」']
245. ['None', '这时，一位手上拿著印有百景岛图案的气球，']
246. ['None', '制服胸前也印著百景岛商标的工作人员走了过来──']
247. ['工作人员', '「两手。我是看客人两手拿著白海豚跟鲸鲨才会这么问啦。」']
248. ['None', '指著我从巧克力与香草那边接过来的布偶问道。']
249. ['嘉祥', '「啊，这是我们家猫娘的东西，不是我的。」']
250. ['工作人员', '「啊啊，不好意思，其实我有看到。」']
251. ['工作人员', '「我只是想问客人家的猫娘是不是喜欢布偶而已，」']
252. ['工作人员', '「不好意思害你误会了。啊哈哈。」']
253. ['None', '眼前的女性露出一道十分符合游乐园职员形象的开朗笑容，']
254. ['None', '轻轻对我点头致歉。']
255. ['工作人员', '「客人家的猫娘真可爱呢～是客人的猫娘情人吗？」']
256. ['嘉祥', '「啊，该怎么说……」']
257. ['嘉祥', '「……这个，应该算是……吧？」']
258. ['工作人员', '「啊哈哈，别害羞嘛～♪」']
259. ['嘉祥', '「没有啦，只是还有点不太习惯……」']
260. ['None', '被说中的我不禁苦笑。']
261. ['None', '我当然也知道这种时候应该大方承认，']
262. ['None', '不过是难免还是会觉得有那么点不好意思。']
263. ['工作人员', '「看她们两个那么黏客人，而且又有考上带铃资格，」']
264. ['工作人员', '「想必客人一定是个很棒的饲主……不对，应该是男朋友吧？」']
265. ['嘉祥', '「真是这样的话就好了。」']
266. ['嘉祥', '「她们两个实在太能干，害我老是觉得自己才是受照顾的一方呢……」']
267. ['工作人员', '「啊哈哈，不用担心啦。」']
268. ['工作人员', '「我看她们好像很信赖客人的样子，客人你可以对自己多抱一点自信呀？」']
269. ['工作人员', '「其实，我也是猫娘饲主喔。」']
270. ['工作人员', '「可惜我们家的猫娘一点也不听我的话就是了。」']
271. ['None', '只见工作人员笑著耸了耸肩，']
272. ['None', '看见她这副笑容，实在不难想像她对自己家里的猫娘有多么溺爱。']
273. ['工作人员', '「就是因为这样，所以我总觉得跟客人有股亲近感，忍不住就过来搭话了。」']
274. ['工作人员', '「虽然规定上每个入园的客人只能拿一个气球……」']
275. ['工作人员', '「不过这次就特别优待，多给你一个好了。」']
276. ['工作人员', '「就当作是给两位猫娘的礼物吧♪」']
277. ['None', '我接过对方递出的气球。']
278. ['嘉祥', '「那我就不客气收下了。」']
279. ['嘉祥', '「以她们两个的个性，一定会开心到不行吧。」']
280. ['工作人员', '「嗯，那就让她们两个开心一下吧♪」']
281. ['工作人员', '「那我就先告辞啰～」']
282. ['嘉祥', '「『猫娘情人』，是吗……」']
283. ['None', '我重新将这个事实说给自己听。']
284. ['None', '虽然刚刚那位工作人员小姐害我稍微慌了一下……']
285. ['None', '不过，以后我必须表现得更大方点才行。']
286. ['None', '希望下次再被人问起的时候，我能够挺起胸膛承认自己是巧克力跟香草的情人。']
287. ['None', '大概就是因为这种性格，所以时雨才会老是说我『不知变通』吧。']
288. ['嘉祥', '「哎，不过事到如今，我这性格要改恐怕也很难了……」']
289. ['嘉祥', '「嗯嗯？」']
290. ['巧克力', '「喵～……！人家只不过是去了一下下洗手间，才一下下而已……！」']
291. ['巧克力', '「主人怎么就跟其他女生要好起来了啦……！呜哇～……！」']
292. ['香草', '「听说男人最喜欢主张花心是雄性本能了。简直差劲到家。」']
293. ['巧克力', '「呜呜，香草……！巧克力，巧克力好伤心啊……！」']
294. ['香草', '「香草会一直待在巧克力身边，所以别哭了。好乖好乖。」']
295. ['香草', '「回去我再帮妳把芥末酱跟辣椒酱涂在主人内裤里喔。」']
296. ['巧克力', '「可是，如果主人因为这样而不举的话巧克力也会很伤脑筋耶……」']
297. ['香草', '「身为主人的猫娘情人，发现主人花心当然得加以严惩才行。」']
298. ['香草', '「我看电视上说过，千万不可以当个随男人摆布的猫娘。」']
299. ['巧克力', '「巧克力办不到这种事啦……」']
300. ['巧克力', '「看来巧克力这辈子注定是只能随男人摆布了……呜呜……」']
301. ['嘉祥', '「呜哇，真麻烦……」']
302. ['None', '明明一看就知道是误会的事情，没想到她们可以妄想到这种程度……']
303. ['None', '而且居然还想对我的内裤动手脚，　']
304. ['None', '香草的思想会不会太偏激了点……']
305. ['嘉祥', '「……总之还是先把误会解开再说吧。」']
306. ['None', '抱著无奈的心情，']
307. ['None', '我朝著还在地上失意体前屈的巧克力走去。']
308. ['嘉祥', '「巧克力～？香草～？洗澡水烧好啰～」']
309. ['嘉祥', '「喂～，巧克力～？香草～？」']
310. ['巧克力', '「呼─……呼─……主人……呼─……」']
311. ['香草', '「嗯喵……主人……呼─……呼─……」']
312. ['嘉祥', '「……也难怪，毕竟今天玩了一整天嘛。」']
313. ['None', '我看向在沙发上睡得正香的两只猫娘。']
314. ['嘉祥', '「这阵子一直抽不出时间来陪她们呢……」']
315. ['None', '其实我一直都很清楚，我跟时雨比起来的话她们两个绝对比较黏我。']
316. ['None', '不过这几个月来除了必须为离家生活做准备外，']
317. ['None', '对未来的不安也让我完全没有时间像今天这样陪她们两个一起玩。']
318. ['嘉祥', '「……也真亏妳们愿意跟过来呢。」']
319. ['None', '从属于自己的店开幕、']
320. ['None', '巧克力跟香草追著我的脚步来到Soleil、']
321. ['None', '到现在跟她们俩变成情人关系……']
322. ['None', '这些都是我当初捡到她们的时候，']
323. ['None', '完全想像不到的事呢……。']
324. ['嘉祥', '「……不过托了妳们两个的福，我每天都过得很快乐喔。」']
325. ['None', '我伸出手，轻轻抚摸著眼前两张可爱的睡脸。']
326. ['巧克力', '「……嗯、喵……？主人……？」']
327. ['巧克力', '「啊……！对、对不起，我们不小心睡著了……！」']
328. ['香草', '「明天要用的材料准备完了吗……？我也来帮忙……」']
329. ['嘉祥', '「已经准备完了啦。」']
330. ['嘉祥', '「妳们可以继续睡没关系。」']
331. ['None', '我伸出手在睡眼惺忪的两只猫娘头上摸了摸，']
332. ['None', '然后扶起她们两个，让她们重新在沙发上坐好。']
333. ['巧克力', '「……今天我们真的玩得很开心喔。」']
334. ['巧克力', '「巧克力跟香草说过想去的地方……」']
335. ['巧克力', '「主人居然都还记得，这让我们觉得很高兴呢，主人。」']
336. ['香草', '「游乐园跟水族馆的初体验，真的很开心……」']
337. ['香草', '「而且大家还一起拍了好多照片，这些都是很珍贵的回忆。」']
338. ['None', '像是在回味当时的幸福滋味似的，']
339. ['None', '两人对我露出了温柔的笑容。']
340. ['巧克力', '「谢谢你，主人。我最喜欢你了。」']
341. ['巧克力', '「啾」']
342. ['香草', '「我也要表达感谢心意。」']
343. ['香草', '「啾」']
344. ['None', '脸颊两边传来了两人柔软的嘴唇触感。']
345. ['None', '接著，她们俩自然地把头靠上我的肩膀。']
346. ['嘉祥', '「我也玩得很开心啊。谢谢妳们。」']
347. ['None', '而我也在两人额头上各留下了一个吻。']
348. ['巧克力', '「哈啊……人家真的好喜欢好喜欢主人喔……」']
349. ['巧克力', '「只是跟主人待在一起而已……心跳就变得好快……」']
350. ['巧克力', '「胸口也觉得好温暖……那个……主人……」']
351. ['香草', '「……嗯，我也是。总觉得心脏跳得好快……」']
352. ['香草', '「那个，身体好像也有点忍不住了……主人……」']
353. ['None', '两道热情眼神同时从左右传来。']
354. ['None', '当然，我并没有迟钝到不懂这张表情代表什么。']
355. ['嘉祥', '「……又是发情期？」']
356. ['None', '两人静静地摇了摇头。']
357. ['巧克力', '「……这次跟发情期应该没有关系。」']
358. ['巧克力', '「纯粹是因为我们喜欢主人……因为喜欢，所以才想跟主人做。」']
359. ['巧克力', '「在准备资格考的时候，我们曾经学过一个人类必须要有羞耻心……」']
360. ['巧克力', '「……可是，我们现在的反应真的就不对吗？」']
361. ['嘉祥', '「巧克力……」']
362. ['香草', '「虽然发情期那次是因为身体不听使唤的缘故……」']
363. ['香草', '「……不过，这次感觉比较像是发自内心的影响。」']
364. ['香草', '「听说跟情人约会的时候，最后的行程一定是做爱。」']
365. ['香草', '「……主人你应该是喜欢我们的吧？」']
366. ['嘉祥', '「香草……」']
367. ['None', '两人的声音仿佛受到情欲所支配一般，']
368. ['None', '就连望著我的视线也比刚才要来得更妖艳且抚媚。']
369. ['嘉祥', '「……这种事还需要问吗？」']
370. ['嘉祥', '「我当然喜欢妳们两个了。」']
371. ['None', '这次，我在她们俩的樱桃小嘴上，']
372. ['None', '各留下了一个情人的吻。']
373. ['巧克力', '「嘻嘻，真像主人的作风呢……」']
374. ['香草', '「主人就是不坦率又爱耍酷。」']
375. ['None', '而她们两个也满足地抱在我身上。']
376. ['巧克力', '「那，今天就让我们两个来服务主人好吗……？」']
377. ['香草', '「为了答谢主人，我们保证会把主人服侍的舒舒服服……♪」']
