1. ['巧克力', '「哇～！主人，主人!!」']
64. ['香草', '「…………喵！（猫拳）」']
65. ['巧克力', '「…………（盯～）」']
66. ['香草', '「…………（盯～）」']
67. ['巧克力', '「喵！（猫拳）」']
68. ['香草', '「喵！（猫拳）」']
69. ['巧克力', '「喵！（猫拳）」']
70. ['香草', '「喵！（猫拳）」']
71. ['香草', '「喵～！喵喵喵!!（猫拳连打）」']
72. ['嘉祥', '「……这两个小鬼果然是猫呢。」']
73. ['None', '看著她们俩跟猫用玩具玩得不亦乐乎，我不禁又再度体会到这点。']
74. ['None', '总之，既然玩具上写著『自由使用』，就暂时随她们去玩吧。']
75. ['嘉祥', '「我看看，有关猫娘的书是在……」']
76. ['None', '当我在店里四处张望的时候，一名穿著围裙的店员走了过来。']
77. ['店员', '「请问需要什么呢？」']
78. ['嘉祥', '「请问这里有育猫书籍吗？关于人型猫娘的。」']
79. ['店员', '「有的，请跟我来。」']
80. ['嘉祥', '「……没想到这么多啊。」']
81. ['None', '见到眼前一整面的猫娘相关书籍，我不禁惊叹。']
82. ['None', '『猫娘的心情』『猫娘教育』『猫娘的最……不爱！』']
83. ['None', '虽然最后一本的标题让人搞不太懂是什么意思，总之就是多到不行。']
84. ['店员', '「有关猫娘的书籍虽然多，但并不是每本书都能套用到所有猫娘身上。」']
85. ['店员', '「再说人型猫娘听得懂人话，所以只要有好好沟通的话通常是没什么问题的。」']
86. ['店员', '「那边那两位猫娘是客人养的吗？」']
87. ['嘉祥', '「啊，她们其实是我妹的──」']
88. ['嘉祥', '「……不，我是她们两个的饲主没错。因为我想多学一点有关猫娘的事……」']
89. ['店员', '「原来如此。那么我去拿本店推荐的书过来，麻烦客人您先稍等一下喔。」']
90. ['None', '要在人前承认自己是她们俩的饲主，老实说还挺令人害羞的。']
91. ['None', '不过，能够大方承认这件事倒是让我觉得有点开心。']
92. ['None', '……好吧，连我自己都觉得自己这个性格很难搞。']
93. ['None', '看著待在不远处继续对玩具不停拍打的两只猫娘，我不禁露出苦笑。']
94. ['None', '……是说她们也玩太久了吧。']
95. ['店员', '「让您久等了。这本您觉得如何呢？」']
96. ['None', '店员拿了一本书回来递到我的面前。']
97. ['None', '『1岁成猫的参考书』']
98. ['店员', '「我看客人家的猫娘已经很懂事了，所以与其重新学习饲养方法，不如针对猫娘的特性来学习会比较好。」']
99. ['店员', '「毕竟已经没有必要再从说话、上厕所跟洗澡开始教起，」']
100. ['店员', '「而且这样子也比较能做好充分准备迎接发情期或成长期的到来。」']
101. ['嘉祥', '「原来如此。」']
102. ['None', '我稍微翻了翻书本，']
103. ['None', '内容包括了猫娘成长后的食生活、发情期、安定期、']
104. ['None', '猫娘的教育、和猫娘的相处方式、和猫娘相关的证照、学校、']
105. ['None', '甚至连猫娘的运动会都有网罗。']
106. ['店员', '「有人把猫娘当成人生伴侣、有人把她们当成工作伙伴或同好……」']
107. ['店员', '「饲主与猫娘之间的关系会随著家庭不同而有所不同。」']
108. ['店员', '「虽然这本书里的知识算不上相当专业，但是要帮客人入门的话可以说是再适合不过了。」']
109. ['店员', '「不过，既然客人家的猫娘已经那么懂事……」']
110. ['店员', '「我想用和人类一样的教育方式应该也是没问题的。」']
111. ['嘉祥', '「……说得也是。老实说她们两个说不定比我还能干呢。」']
112. ['None', '我回想起之前被巧克力跟香草说服的事。']
113. ['None', '……身为饲主，我可得更努力学习才行了。']
114. ['None', '我下定决心，将手上的书交给店员。']
115. ['嘉祥', '「那么，可以给我这本书吗？」']
116. ['店员', '「好的，谢谢惠顾。」']
117. ['店员', '「对了，还有一件事……」']
118. ['嘉祥', '「嗯？怎么了吗？」']
119. ['店员', '「我看客人家的猫娘好像很中意那个，需要帮您包起来吗？」']
120. ['嘉祥', '「那个……？」']
121. ['巧克力', '「哈啊、哈啊、哈啊……!!」']
122. ['香草', '「呼──、呼──……!!」']
123. ['巧克力', '「不行……再这样下去巧克力会死掉……！呼、呼、呼……!!」']
124. ['香草', '「我好像……看见三途川在我眼前……呼──、呼──……」']
125. ['香草', '「你就……踩著我的尸体继续前进吧……咳、咳、咳……!!」']
126. ['巧克力', '「请你告诉主人，巧克力直到最后都活得像只猫……！」']
127. ['巧克力', '「拜托……了……呼、呼、呼……!!」']
128. ['嘉祥', '「……不好意思，那个也帮我包起来。顺便给她们两罐饮料。」']
129. ['店员', '「多谢惠顾～」']
130. ['None', '……我开始考虑要不要收回刚刚那句『比我还能干』的评价。']
131. ['None', '见到两只猫娘气喘吁吁地躺在地上的模样，我突然对前途感到一阵不安。']
132. ['巧克力', '「主人对不起……我们不小心玩过头了……」']
133. ['香草', '「就算学会再多常识，身为一只猫娘实在没办法违抗猫的习性……」']
134. ['嘉祥', '「别在意。总之我会把它吊在房间里，以后妳们随时都可以玩。」']
135. ['None', '只见两人的视线不断追著从袋子里露出来的玩具跑。']
136. ['None', '看来她们骨子里果然还是猫啊。']
137. ['None', '既然连刚刚的店员都说这样很正常，那就姑且相信一下好了。']
138. ['香草', '「对了主人，你今天会去药局吗？」']
139. ['嘉祥', '「嗯？今天我是没有打算要去啦，还是说妳有什么东西想买？」']
140. ['香草', '「算是吧。可以吗？」']
141. ['嘉祥', '「可以是可以……」']
142. ['None', '印象中香草平常讲话好像不会这么含糊其词……']
143. ['None', '再说上次不是才帮她们买了全套护发用品吗……？']
144. ['None', '算了，反正家里刚好也需要添购一些常备药。']
145. ['嘉祥', '「那就走吧。」']
146. ['香草', '「嗯，好。这样一来任务就达成了。」']
147. ['嘉祥', '「任务？」']
148. ['香草', '「没什么，猫娘的世界也是有不少辛酸的。」']
149. ['嘉祥', '「……？既然妳这么说……」']
150. ['None', '看来猫娘的生活似乎也不轻松呢……']
151. ['None', '一边想著这些事，我一边带著两人往药局的方向走去。']
152. ['巧克力', '「主人，主人～“生理痛”是什么意思？」']
153. ['巧克力', '「啊，我知道了……」']
154. ['巧克力', '「一定是整理重物造成的酸痛对不对！巧克力是不是很聪明？」']
155. ['嘉祥', '「嗯，差不多就是那个意思，所以拜托妳安静一点，好不好？」']
156. ['None', '来自四面八方的视线不断刺在我身上。']
157. ['None', '麻烦各位稍微体谅一下好吗……我总不能因为她这个天真反应对她发脾气吧……']
158. ['嘉祥', '「总之我们先到那边去吧？我要买的药应该是在那里。」']
159. ['巧克力', '「遵命！主人去哪里巧克力都会跟得紧紧的♪」']
160. ['巧克力', '「话说回来，主人要买的是什么药？」']
161. ['巧克力', '「不是身体不舒服的时候才需要吃药吗？」']
162. ['巧克力', '「难道说，主人你身上有哪里在痛!?」']
163. ['巧克力', '「既然这样，要不要快点去医院比较好!?」']
164. ['嘉祥', '「不是不是，我只是来买些常备药而已啦。谢谢妳那么担心我。」']
165. ['None', '见到巧克力整个人凑上来，我连忙开始安抚她。']
166. ['嘉祥', '「所谓的常备药，就是指摆在家里以防万一的药。知道吗？」']
167. ['巧克力', '「可是那次巧克力发烧的时候，主人不是带巧克力去看医生吗？」']
168. ['嘉祥', '「因为妳是猫，而且那时又烧得很严重嘛。」']
169. ['嘉祥', '「如果只是小感冒的话，药局买的药就很够用了。」']
170. ['巧克力', '「原来是这样啊～人类社会还真是方便呢～」']
171. ['None', '只见她一脸佩服地拿起架上各种药品端详起来。']
172. ['None', '话说回来，猫娘可以吃人类用的药吗？']
173. ['None', '是说以前我好像有看过时雨帮她们贴湿布的样子……']
174. ['巧克力', '「啊，隔壁有家医院耶！」']
175. ['巧克力', '「如果是这里的药治不好的病，就要去隔壁看医生对不对？」']
176. ['巧克力', '「不愧是人类的文明，真是方便到家了～♪」']
177. ['嘉祥', '「嗯，差不多就是这样。」']
178. ['None', '总之就先配合她一下吧。']
179. ['None', '反正巧克力基本上没什么机会来人类的医院看病，']
180. ['None', '再说她的解释其实也没有错到哪里去。']
181. ['嘉祥', '「……嗯？香草人呢？」']
182. ['巧克力', '「啊咧？这么说起来好像一直没看到她……」']
183. ['None', '当我们发现的时候，香草已经不见人影了。']
184. ['None', '明明是她自己说要来药局的不是吗……嗯？']
185. ['巧克力', '「嗅嗅嗅……」']
186. ['巧克力', '「嗯!?主人，那里有香草的味道！」']
187. ['嘉祥', '「那里是……店外？」']
188. ['None', '我朝著巧克力手指的方向看去──']
189. ['香草', '「嗯？叫我吗，心爱的巧克力？」']
190. ['None', '就看到香草刚好从店门口走进来。']
191. ['嘉祥', '「咦？香草，妳刚刚到哪去了？」']
192. ['香草', '「只是去采个花而已。」']
193. ['嘉祥', '「我明明看到妳从外面走进来啊？」']
194. ['None', '写著『自由使用』的厕所标帜是指向店面内部的。']
195. ['None', '可是香草撒这种谎有什么意义吗……？']
196. ['None', '不对，刚刚我好像才看到她身为猫的一面……']
197. ['嘉祥', '「难道说，妳不知道厕所在哪里所以才跑去外面……？」']
198. ['香草', '「变态！主人你实在太没礼貌了！」']
199. ['香草', '「大变态！差劲！」']
200. ['嘉祥', '「啊，嗯，说得也是，怎么可能会有这种事嘛！抱歉……！」']
201. ['None', '见到香草胀红著脸气呼呼的模样，我连忙道歉。']
202. ['None', '……没想到香草也会气成这样。']
203. ['None', '老实说，要判断有没有踩到她们的地雷还真是很难的一件事。']
204. ['香草', '「比起这种事，我们还是赶快回去准备吧。不然明天就要开幕了喔？」']
205. ['巧克力', '「我们两个也会帮忙主人哟！」']
206. ['嘉祥', '「那就麻烦妳们啰。这几天我可是忙得不可开交，连猫的手都想借呢。」']
207. ['巧克力＆香草', '『「好的！」\n「知道了」』']
208. ['巧克力', '「欢迎光临──！请问决定好要点什么了吗？」']
209. ['香草', '「性感度不够。试著再对客人更谄媚一点。」']
210. ['巧克力', '「嗯嗯，性感是吗？那我再试一次喔？」']
211. ['巧克力', '「嗯哼～欢迎光临～♪」']
212. ['香草', '「抱歉，是我错了。我收回刚刚的话。」']
213. ['嘉祥', '「话说在前头，我们这里可不是那种店喔？」']
214. ['巧克力', '「欢迎光临♪要不要试试本店招牌的蛋糕呢？」']
215. ['嘉祥', '「客人进来就是要买蛋糕的，妳跟人家推荐蛋糕不是多此一举吗？」']
216. ['香草', '「可是如果推荐蛋糕以外的东西，客人也会很伤脑筋吧？」']
217. ['嘉祥', '「是没错啦……」']
218. ['None', '当我正在为明天开幕准备材料的时候，两位小小看板娘就在一旁练习怎么招呼客人。']
219. ['None', '是说我刚刚好像听到有人说要帮忙……']
220. ['None', '算了，反正我本来就打算一个人能作多少就作多少。']
221. ['嘉祥', '「嗯，差不多了吧？」']
222. ['None', '我尝了一口刚作好的卡士达奶油。']
223. ['None', '奶油没有结块、味道均匀、而且甜度也很适中。']
224. ['嘉祥', '「好了，再来是派皮──」']
225. ['巧克力＆香草', '『「盯──（期待的眼神）」』']
226. ['嘉祥', '「…………要试试味道吗？」']
227. ['巧克力＆香草', '『「喵～真不愧是主人～♪」\n「喵～不愧是主人♪」』']
228. ['None', '我把沾了奶油的刮刀递给两人。']
229. ['巧克力', '「啊～嗯，嗯呣嗯呣……」']
230. ['巧克力', '「好棒喔────！主人，这个超好吃的♪」']
231. ['香草', '「喔喔……！（舔）这个不会过甜的甜味反而（舔）让味道更有深度（舔）……！」']
232. ['巧克力', '「主人，可以再来一点吗！」']
233. ['香草', '「我也要。」']
234. ['嘉祥', '「好好好知道了。这些吃完就不可以再吃啰？」']
235. ['None', '我拿出两只小汤匙，各舀了一点奶油之后递给她们。']
236. ['巧克力', '「（拼命舔）」']
237. ['香草', '「（拼命舔）」']
238. ['None', '没想到我作的奶油居然会是猫娘杀手。']
239. ['None', '只见两只猫娘一心不乱地舔著手上的汤匙，']
240. ['None', '那副忠于欲望的模样倒也挺可爱的。']
241. ['嘉祥', '「……我是说过连猫的手都想借没错，不过看来猫娘果然还是……（小声)」']
242. ['巧克力', '「才才才才没那回事！！」']
243. ['巧克力', '「巧克力绝对可以帮得上主人的忙！！」']
244. ['巧克力', '「可别以为巧克力是为了试吃才跑过来的！！」']
245. ['嘉祥', '「呜哇，不要突然扑上来！这样很危险啦！」']
246. ['香草', '「那么，我这只猫娘就继续负责试吃好了。主人，再来一点。」']
247. ['嘉祥', '「啊，不要自己乱挖！而且还挖那么多！」']
248. ['巧克力', '「不要紧！就算吃完巧克力也会再做一大堆出来！」']
249. ['香草', '「喔喔，看巧克力这么有干劲，成果应该很值得期待吧。所以主人妳就别阻止她了。」']
250. ['嘉祥', '「呜哇！放开我，香草！好啦好啦，总之我再做就是了，这样行不行！」']
251. ['巧克力', '「没问题！巧克力刚刚可是在一旁把主人打奶油的整个过程看得一清二楚呢♪一切就交给巧克力吧！」']
252. ['巧克力', '「呃──首先要准备锅子跟鲜奶，再来……」']
253. ['巧克力', '「再来好像是要加葵瓜子的样子？」']
254. ['嘉祥', '「香草荚！妳是要做给天竺鼠吃吗！？」']
255. ['香草', '「既然都要做了，巧克力妳就干脆多做一点，然后我们来开卡士达奶油丰年祭。」']
256. ['巧克力', '「了解！交给我准没问题～」']
257. ['香草', '「加点鲜奶油一定会更美味。鲜奶油就交给我吧。」']
258. ['巧克力', '「啊……！唷、嘿……！糟糕，怎么这么重……！！」']
259. ['香草', '「啊。巧克力，这该不会就是所谓的大事不妙──」']
260. ['巧克力＆香草', '『「喵啊啊啊啊啊啊啊啊啊啊────────！！！！！」』']
261. ['巧克力', '「喵～♪洗澎澎洗澎澎～♪」']
262. ['香草', '「喵噗……！主、主人，水跑进眼里了……！」']
263. ['嘉祥', '「所以我才叫妳不要张开眼睛嘛。坐好，我再帮妳冲一次水。」']
264. ['香草', '「呜呜～……我果然还是讨厌洗澡……」']
265. ['嘉祥', '「妳这叫自作自受。好啦，眼睛闭上。」']
266. ['None', '我拿著莲蓬头冲掉巧克力跟香草身上的鲜奶跟鲜奶油。']
267. ['嘉祥', '「只有妳们两个受害真是不幸中的大幸，」']
268. ['嘉祥', '「要是搞到连厨房都需要大扫除，那可就麻烦了。」']
269. ['巧克力', '「对不起嘛～不过巧克力现在很高兴哟！因为好久没跟主人一起洗澡了♪」']
270. ['嘉祥', '「啊─……这么说来好像真的是这样没错。」']
271. ['香草', '「不过主人帮我们洗澡的技术一点也没有进步……噗哇！？」']
272. ['嘉祥', '「谁叫妳要在冲水的时候说话。嘴巴闭起来。」']
273. ['香草', '「呜呜……未免太不讲理了吧，主人……」']
274. ['None', '巧克力跟香草还小的时候我偶尔会跟她们一起洗澡，']
275. ['None', '不过她们俩开始长大以后，我就没有再这么做过了。']
276. ['None', '……当然不是因为我对她们俩有什么非分之想啦。']
277. ['None', '毕竟我可是看著她们从小长大，所以她们两个与其说是妹妹，还不如用女儿形容来得贴切。']
278. ['None', '……话说回来，她们俩最近也多少变得有些女人味了嘛。']
279. ['None', '……等等，我在想什么？对方可是猫娘啊！']
280. ['巧克力', '「主人你怎么了？为什么要像全身淋湿的猫咪一样一直摇头？」']
281. ['嘉祥', '「咦？啊不，没什么。」']
282. ['嘉祥', '「只是觉得，那个……啊，妳们的头发比起以前变长很多了嘛！」']
283. ['巧克力', '「因为时雨说我们的头发很漂亮，建议我们留长嘛。所以就一直留到现在啰♪」']
284. ['巧克力', '「会觉得我们头发变长一定是因为主人太久没有跟我们一起洗澡了啦～」']
285. ['香草', '「谁叫主人的个性就是这么怕麻烦，」']
286. ['香草', '「连自己家猫娘的心愿都不愿意听呢。」']
287. ['嘉祥', '「就算是猫娘好了，再怎么说妳们也是年轻女孩子，」']
288. ['嘉祥', '「拜托妳们多少抱点羞耻心可以吗？」']
289. ['巧克力', '「羞耻心……时雨也偶尔会这么跟我们说呢。」']
290. ['巧克力', '「不过说了我也搞不太懂就是了。」']
291. ['香草', '「对还没迎接发情期的猫娘来说，人类的感情实在太难理解了。」']
292. ['嘉祥', '「真是的，妳们就只会挑在对自己方便的时候说自己是猫娘而已。」']
293. ['嘉祥', '「好啦，我要帮妳们洗头发啰～？」']
294. ['None', '我倒了些洗发精在手上，开始帮两人洗起头发来。']
295. ['None', '不愧是经过时雨精心保养的头发，又柔又亮，一点分叉也没有。']
296. ['None', '就算是不懂保养的我，也看得出她们俩的头发不留长绝对可惜。']
297. ['香草', '「说是这么说，其实主人你一定在内心里偷偷暗爽吧？主人大色狼。」']
298. ['巧克力', '「喵喵……！？主人你居然是这样看巧克力的吗……！？」']
299. ['香草', '「哼哼，没有什么可以瞒得过猫娘的眼睛。」']
300. ['嘉祥', '「妳不是从刚才就一直闭著眼睛吗。」']
301. ['嘉祥', '「再说谁会用有色眼光来看待妳们这两只猫娘啊。」']
302. ['嘉祥', '「对我来说妳们只是两个爱给人找麻烦的笨女儿而已啦。」']
303. ['巧克力', '「喵～♪原来主人是我们的爸爸吗？这样好像也不错～♪」']
304. ['香草', '「我倒是可以接受这个说法。」']
305. ['嘉祥', '「好好好，能得到两位赏识是我的光荣。」']
306. ['None', '一边对猫娘们的反应感到欣慰，我一边用洗头刷帮她们俩刷起头发来。']
307. ['None', '只要想成是在照顾自己的可爱女儿，偶尔这样其实也不错。']
308. ['None', '时雨以前好像也总是像这样跟在我的屁股后面，']
309. ['None', '看来我说不定还挺喜欢照顾人的。']
310. ['嘉祥', '「趁我在洗头发的时候妳们自己把身体洗一洗吧。记得尾巴也要洗啊～」']
311. ['巧克力', '「主人帮人家洗嘛～♪」']
312. ['嘉祥', '「我光洗妳们两个的头发就忙不过来了啦。」']
313. ['香草', '「那只好由我代替小气的主人来帮妳洗尾巴了，就像平常一样。」']
314. ['嘉祥', '「嗯，麻烦妳了。」']
315. ['嘉祥', '「要冲水啦。眼睛嘴巴闭起来，呼吸停住～」']
316. ['香草', '「喵噗……！主人，你是不是故意往我脸上……！」']
317. ['香草', '「喵!?水跑进耳朵里……！喵、喵～……！」']
318. ['巧克力', '「喵哈哈♪主人，也帮巧克力冲水嘛～♪」']
319. ['嘉祥', '「好好好，照顺序来～」']
320. ['None', '……麻烦归麻烦，不过偶尔像这样转换一下心情好像也不错。']
321. ['None', '我一边想著这些事，一边拿起莲蓬头小心地帮她们两个冲洗头发。']
322. ['嘉祥', '「……嗯，这样子海绵蛋糕的材料就完成了。」']
323. ['None', '我把装了面糊的碗包上保鲜膜，然后放进冷藏库里。']
324. ['None', '反正第一天不可能有太多客人来，']
325. ['None', '这些量应该就够用了吧。']
326. ['None', '接著就只能等开店以后再随机应变了。']
327. ['嘉祥', '「好，再来只要把装饰用的水果切起来放著就行了。」']
328. ['None', '伸了个懒腰以后我看了一下时钟，发现时针正要指向十二点的方向。']
329. ['嘉祥', '「巧克力，香草，我这里马上就弄完了，妳们可以先去睡──」']
330. ['嘉祥', '「…………嗯？」']
331. ['巧克力', '「呼─……呼─……」']
332. ['香草', '「呼─……呼─……」']
333. ['None', '我回头一看，这才发现她们俩已经在沙发上打起呼来了。']
334. ['None', '只见她们俩在睡梦中微笑著依偎在一起，似乎正在作什么美梦的样子。']
335. ['嘉祥', '「「……刚刚明明还说要等我准备完才睡觉的呢。」']
336. ['None', '或许是因为从一早开始就兴奋个不停的缘故，所以累了吧。']
337. ['None', '我蹲到她们俩面前，用手戳了戳两人的脸颊。']
338. ['巧克力', '「嗯嗯……欢迎光临……」']
339. ['巧克力', '「我是本店Soleil的看板猫娘巧克力……♪」']
340. ['香草', '「喵……主人，红茶卖完了……」']
341. ['香草', '「还有蛋糕也要快点烤新的……快点快点……」']
342. ['None', '看来她们俩在梦里似乎先一步当起店员来了。']
343. ['None', '而且客人还多得让她们忙到不可开交呢。']
344. ['嘉祥', '「果然，她们两个还是小孩子呢。」']
345. ['None', '两人现在的模样就像远足前一天的小朋友一样可爱。']
346. ['None', '我轻轻地往两人头上摸了摸，']
347. ['None', '润发乳的甘甜香味顿时充满鼻腔。']
348. ['嘉祥', '「妳们两个怎么睡在这里呢？想睡就回自己的房间睡啊～？」']
349. ['巧克力', '「喵、嗯……主人，不可以在营业时间对人家毛手毛脚啦……♪」']
350. ['香草', '「性骚扰……主人你可不能对客人出手……」']
351. ['香草', '「不过我倒是可以稍微忍耐一下……」']
352. ['嘉祥', '「妳们到底是在作什么梦啊。」']
353. ['None', '看来她们两个是暂时爬不起来了。']
354. ['None', '不得已之下，我只好分两趟把她们给抱回房间去。']
355. ['巧克力', '「呼─……呼─……主人……呼─……」']
356. ['香草', '「呼喵……巧克力……呼─……呼─……」']
357. ['嘉祥', '「这两个小家伙真是爱给人找麻烦……」']
358. ['None', '帮在床上缩成两团的猫娘盖上毛毯以后，']
359. ['None', '我再度摸了摸她们俩的头，接著走出房间将房门轻轻关上。']
360. ['嘉祥', '「……好啦。」']
361. ['None', '在剩下我一个人的客厅里，我伸了伸懒腰后做了个深呼吸。']
362. ['嘉祥', '「为了巧克力和香草，明天开始可得更努力才行了。」']
363. ['None', '为了最重要的家人，我继续开始准备剩下的材料。']
