1. ['巧克力', '「谢谢惠顾～♪欢迎再度光临！」']
40. ['嘉祥', '「妳们再不快吃的话休息时间就要结束啰。」']
41. ['None', '我一边冲著三人份的红茶一边冷静地催促两人。']
42. ['None', '虽然这两只猫娘的相声总是叫人看不厌，不过她们俩似乎不觉得自己是在说相声呢。']
43. ['巧克力', '「那，我开动啰～！啊～嗯，嗯呣嗯呣……」']
44. ['巧克力', '「好好吃喔────！！又松又软，而且入口即化！！」']
45. ['巧克力', '「巧克力可以感觉到，这就是主人的爱……！」']
46. ['巧克力', '「人家真是世界第一幸福的猫娘了……！！！」']
47. ['香草', '「呜哇……♪这个绝妙的甜味，加上淡淡柠檬香带来的清爽感，真是太棒了……♪」']
48. ['香草', '「还有底下那层，嗯♪稍微带点苦味的饼干皮，嗯哼哼～♪」']
49. ['嘉祥', '「妳们喜欢就好。」']
50. ['嘉祥', '「我还准备了其它口味的酱料，」']
51. ['嘉祥', '「如果妳们试吃完能给我一点意见的话可以帮上我不少忙。」']
52. ['巧克力', '「呜哇啊啊……！这不是巧克力最爱的巧克力酱吗～！」']
53. ['香草', '「连我喜欢的莓果酱跟抹茶粉都有……！？」']
54. ['巧克力', '「我们这么享受真的不要紧吗！？」']
55. ['巧克力', '「现在这么幸福，将来会不会遭天谴啊！？」']
56. ['香草', '「啊啊啊，真是太棒了……！不管是哪一种口味都跟蛋糕本身搭配得恰到好处，让美味程度瞬间提升一倍……！」']
57. ['巧克力', '「好好吃，真的好好吃喔，主人～！不愧是专业西点师傅！」']
58. ['香草', '「只有专业人士才做得出的味道。主人你真是太帅了。」']
59. ['嘉祥', '「没什么啦。虽然还是个新手，不过我好歹也是有证照的。」']
60. ['None', '看见两人对我的蛋糕绝赞不已，我的心血总算是没有白费。']
61. ['None', '虽然一直没跟她们说，不过自从听了她们的要求那天起，我其实一直在私下研究千层起司蛋糕呢。']
62. ['巧克力', '「得到主人的奖励好开心♪」']
63. ['巧克力', '「而且奖励又超级美味，巧克力现在真是超幸福的～♪」']
64. ['香草', '「毕竟是我们辛苦换来的代价嘛。」']
65. ['香草', '「要是只有主人一个人的话，想必现在已经忙得喘不过气来了吧？嗯哼。」']
66. ['嘉祥', '「是啊，有妳们在真是帮了我一个大忙呢。好乖好乖。」']
67. ['None', '我交互摸了摸一脸开心的巧克力跟带著得意表情的香草。']
68. ['巧克力', '「为了主人，巧克力会更加、更～加努力的！」']
69. ['巧克力', '「以后我们一定要好好加油才行啰！对吧，香草？」']
70. ['香草', '「自己的餐费自己赚，至少不能被当作只会吃闲饭的猫娘。」']
71. ['巧克力', '「香草真是一点也不坦率耶～妳明明就在这里工作得很高兴不是吗。」']
72. ['香草', '「那是因为跟巧克力在一起工作所以才开心。就只是因为这样而已。真的。」']
73. ['巧克力', '「啊哈哈～妳看妳脸都红了～」']
74. ['巧克力', '「不诚实的孩子就要接受捏脸颊之刑～我捏我捏♪」']
75. ['香草', '「我才没有脸红……嗯、嗯……！」']
76. ['香草', '「等等，不要在人家吃东西的时候……主人你也说说她，嗯、嗯嗯……！」']
77. ['None', '我们家的看板猫娘还真是可爱啊～']
78. ['None', '看著她们俩又开始闹起来，我笑著将热水重新注入茶壶。']
79. ['None', '老实说，这两只看板猫娘会这么受欢迎实在不难理解。']
80. ['None', '毕竟她们这副模样就像是一对可爱姊妹在互相撒娇似的，十分讨人喜欢呢。']
81. ['嘉祥', '「既然妳们这么能干，差不多也该帮妳们开始准备考试了吧？」']
82. ['巧克力', '「考试？考什么试？蛋糕知识吗？」']
83. ['香草', '「啊，难道是经营？主人你已经打算要引退店长了吗？」']
84. ['嘉祥', '「不是不是，有谁会在开店几天内就引退的啊。」']
85. ['嘉祥', '「我是说准备资格考试啦。时雨上次不是说过了吗？」']
86. ['None', '听完我的话，两人讶异地眨了眨眼。']
87. ['巧克力＆香草', '「资格是指，铃铛？」']
88. ['嘉祥', '「嗯。毕竟妳们两个在店里的表现一直都很不错嘛。」']
89. ['巧克力', '「主人，你是说……！」']
90. ['None', '巧克力和香草两个人瞪大眼睛，互相看了一眼之后──']
91. ['None', '接著同时把身子从桌子另一端探了过来。']
92. ['巧克力', '「这么说，我们两个有帮上主人的忙啰？」']
93. ['香草', '「主人承认我们可以做好店里的工作了吗？」']
94. ['嘉祥', '「我刚刚不是就这么说了吗？」']
95. ['嘉祥', '「要是没有妳们两个在的话，这家店恐怕没办法经营的那么顺利。」']
96. ['None', '我和刚才一样拍了拍两人的头，向她们道谢。']
97. ['巧克力', '「如果巧克力考上了带铃猫资格，主人会很高兴吗？」']
98. ['嘉祥', '「那当然。」']
99. ['香草', '「店里两只看板猫娘都是带铃猫的话，想必主人应该也会与有荣焉吧？」']
100. ['嘉祥', '「没错，妳们都是我最自豪的看板猫娘。不过……」']
101. ['嘉祥', '「身为饲主，可以的话我也想帮妳们拿到能证明妳们能力的证据呀。」']
102. ['嘉祥', '「所以，妳们可得为了自己好好用功喔。我也会跟妳们一起加油的。」']
103. ['None', '我大力地搓搓两人的头。']
104. ['None', '而两人也露出了比刚才更灿烂的笑容。']
105. ['巧克力', '「知道了！巧克力会拼命，拼～命加油的～！」']
106. ['巧克力', '「目标是让主人变得没有巧克力就活不下去～！」']
107. ['香草', '「等我们考上带铃猫资格以后，主人会带我们出去玩吗？」']
108. ['香草', '「我想去的地方可是多到不行喔？」']
109. ['嘉祥', '「当然好。看是要去游乐园还是水族馆都没问题。」']
110. ['巧克力', '「哇～♪可以跟主人一起去游乐园了！」']
111. ['巧克力', '「巧克力想去老鼠王国的发源地玩！」']
112. ['香草', '「我想去看极光。不然月球上的陨石坑也可以。当然可以两边都去最好。」']
113. ['嘉祥', '「这个，可以麻烦妳们把希望限定在常识范围里吗？妳们两个，有没有在听？」']
114. ['None', '只见双眼闪闪发亮的猫娘们开始沉浸在她们壮大的妄想世界里。']
115. ['None', '海外也就算了，没想到她们的欲望居然会延伸到地球以外的地方……']
116. ['None', '看来还真不能小看猫娘的梦想。']
117. ['巧克力', '「啊，不过哪里都可以的话，巧克力最想去的还是主人的被窝哟！唔哈～！」']
118. ['香草', '「猫娘史上首度进出月球……！」']
119. ['香草', '「等等，要不要干脆以火星为目标呢……？」']
120. ['嘉祥', '「喂～？拜托妳们两个快点回魂好吗，不然休息时间要结束啰～？」']
121. ['None', '结果，在那之后我花了好一番工夫才有办法把她们两个不知道飞去哪里的心给叫回来。']
122. ['None', '──数天后的公休日。']
123. ['时雨', '「成为『带铃猫』的第一步！」']
124. ['时雨', '「准备好了吗，巧克力、香草？」']
125. ['巧克力', '「是！一切都已经准备就绪了，时雨老师！」']
126. ['香草', '「嗯嗯，我这边也OK了。」']
127. ['时雨', '「听好啰？要得到带铃猫资格的条件，就是『能够靠自己的力量融入人类社会』！」']
128. ['时雨', '「资格考所有项目的重点都浓缩在这句话里！好，重复一次！」']
129. ['巧克力＆香草', '「资格考所有项目的重点都浓缩在这句话里！」']
130. ['时雨', '「不对！我要妳们重复的是前一句！如果这是正式考试的话妳们已经不及格啰，不及格！！」']
131. ['嘉祥', '「妳刚刚那种说法确实很容易让人搞错就是了。嘶嘶──」']
132. ['None', '我坐在客厅里一面啜著热茶，一面看著巧克力、香草和时雨的读书会。']
133. ['None', '原来时雨在进入教育妈妈模式的时候会变成这个样子啊……']
134. ['嘉祥', '「打从时雨出生以来我们两个就一直在一起了，不过这还是我第一次见到她打扮成这个样子……比如说那条头巾。」']
135. ['红豆', '「还不是嘉祥你跑来跟时雨说什么『拜托教我怎么准备资格考』的缘故。」']
136. ['红豆', '「你知道这几天来时雨有多兴奋，把我们搞得伤透脑筋吗？唉……」']
137. ['椰子', '「看来她真的很高兴能受到嘉祥主人依赖呢。」']
138. ['椰子', '「还因为等不及公休日，直接就在家里教起我们来了喔。」']
139. ['None', '跟著时雨一起来的红豆跟椰子也一边喝茶一边点著头说道。']
140. ['None', '看来我好像在不自觉中给她们添了不少麻烦呢。']
141. ['None', '晚点拿几个蛋糕给她们带回去好了。嗯，就这么办。']
142. ['时雨', '「听好了，所谓的『单独行动许可证』呢……」']
143. ['时雨', '「就是能理解人类世界的常识，还能够不受猫的习性制约，依靠理性来克制自身行动的证明。」']
144. ['时雨', '「只有达到这些条件的猫娘才有办法得到资格，成为一只真正的猫娘。」']
145. ['巧克力', '「怎、怎么会……！？这么说巧克力还算不上一只真正的猫娘吗！？怎么办！？」']
146. ['香草', '「猫娘就是猫娘，不用那么担心啦。妳先冷静点。」']
147. ['时雨', '「我说香草，现在可容不得妳那么那么悠闲喔？」']
148. ['时雨', '「想要早点成为杰出猫娘的心情，对一只已经知道怎么独立自主的猫娘来说也是很重要的。」']
149. ['时雨', '「巧克力和香草应该都很想早点成为哥哥的最佳拍档吧？」']
150. ['巧克力', '「是的！巧克力很想成为主人的最佳拍挡！没错！」']
151. ['香草', '「总之我只要能成为巧克力的最佳拍档就好。再来只要不被开除我就很满足了。」']
152. ['红豆', '「香草的弱点就是霸气不够。你们看看她那副慢条斯理的模样（啪哩啪哩啪哩啪哩）」']
153. ['椰子', '「其实她该做的事情都会做好，只是没有把干劲表现在脸上而已啦（啪哩啪哩啪哩啪哩）」']
154. ['嘉祥', '「我看妳们也没有好到哪去啊。」']
155. ['None', '准备点心的同时我也不忘吐槽她们两个。']
156. ['None', '不过她们这种性格倒也挺有猫咪风格的。']
157. ['时雨', '「人类社会有句格言叫『事实胜于雄辩』，所以与其听我说明还不如让妳们两个实际体验一下比较快。」']
158. ['时雨', '「首先就先让红豆来帮妳们示范吧。」']
159. ['时雨', '「红豆。既然妳是猫娘中最年长的，就好好做个榜样让底下的妹妹们见识一下什么才是带铃猫应该有的样子吧。」']
160. ['红豆', '「嗯啊？什么嘛，真麻烦……没报酬的话我可不干喔，没报酬的话。」']
161. ['巧克力', '「红豆，请多多指教！」']
162. ['香草', '「麻烦妳了，红豆。」']
163. ['时雨', '「那么，哥哥您也来好好见识一下带铃猫的坚韧意志力吧。」']
164. ['None', '只见时雨一脸得意地从袖口拿出某样东西来。']
165. ['时雨', '「首先，这里有一盘饱含油脂，猫咪最爱的鲔鱼肚肉。」']
166. ['嘉祥', '「等等，妳是从哪拿出盘子跟鲔鱼肚肉来的？」']
167. ['时雨', '「呵呵，这是我为了以防万一而准备的。简单来说，一切都是因为我对哥哥的爱啊。」']
168. ['嘉祥', '「我不是在问妳理由，我只想知道妳是从哪里拿出来的……」']
169. ['时雨', '「现在不是在意这种小事的时候。」']
170. ['None', '没想到被她一句话轻轻带过。']
171. ['None', '不过由于可吐槽的地方实在太多，反倒让我有种已经无所谓的感觉了，嗯。']
172. ['时雨', '「如果是一般的猫，见到最爱的食物出现在眼前想必一定会发自本能地扑上去吧。」']
173. ['时雨', '「不过，就算我把这盘鲔鱼肚肉放在红豆面前──」']
174. ['红豆', '「呜喵！！」']
175. ['时雨', '「哈呜哇！？」']
176. ['红豆', '「（嚼嚼）」']
177. ['时雨', '「…………」']
178. ['红豆', '「（大嚼特嚼）」']
179. ['时雨', '「…………」']
180. ['时雨', '「……我说，红豆──」']
181. ['红豆', '「喵喵喵喵喵！！」']
182. ['None', '「啊，等等……红豆……！！」']
183. ['时雨', '「…………」']
184. ['巧克力＆香草', '「…………」']
185. ['嘉祥', '「…………」']
186. ['时雨', '「咳。刚刚那是错误的例子。红豆我待会回去会惩罚她，所以……」']
187. ['嘉祥', '「啊，果然还是有惩罚吗。」']
188. ['时雨', '「椰子！逗猫棒耐力测验！」']
189. ['时雨', '「准备好了吗，椰子？」']
190. ['椰子', '「交给我吧，时雨主人。」']
191. ['None', '「那么要开始啰？哥哥您好好看著，这就是椰子跟红豆不同的地方。」']
192. ['嘉祥', '「需要好好看的是巧克力跟香草吧。」']
193. ['时雨', '「要开始了，椰子！」']
194. ['None', '完全没在听。']
195. ['None', '算了，反正巧克力跟香草都看得聚精会神，应该没问题吧。']
196. ['时雨', '「来！」']
197. ['时雨', '「嘿！」']
198. ['椰子', '「…………」']
199. ['巧克力', '「喔喔……！不愧是椰子，真厉害！一点反应也没有呢！」']
200. ['香草', '「居然对逗猫棒连理都不理，真是狠角色。」']
201. ['椰子', '「嘻嘻，这点程度根本没什么值得夸奖的。」']
202. ['椰子', '「身为时雨主人家的猫娘，当然不可能连这点小事都办不到。就算再挥几小时结果都是……」']
203. ['椰子', '「…………嗯？」']
204. ['虫子', '「嗡～～～～～～～～」']
205. ['椰子', '「…………」']
206. ['巧克力', '「？　怎么了，椰子？」']
207. ['虫子', '「嗡～～～～～～～～」']
208. ['椰子', '「…………」']
209. ['巧克力', '「？？？」']
210. ['虫子', '「嗡～～～～～～～～」']
211. ['椰子', '「……………………」']
212. ['巧克力', '「？？？？？？」']
213. ['巧克力＆椰子', '「喵啊！？」\n「喵！！」']
214. ['巧克力', '「呜哇──！椰子用猫拳打人家啦──！喵～好过份！！」']
215. ['椰子', '「抱、抱歉，巧克力！一不小心就……！」']
216. ['香草', '「刚刚那拳应该很痛吧。不过既然是猫，这也是没办法的事。好乖好乖。」']
217. ['嘉祥', '「……我们家的猫娘这样没问题吗？」']
218. ['时雨', '「我记得红豆跟椰子都是以几乎满分的成绩通过考试的不是吗……啊咧～？」']
219. ['None', '我看她们两个好像一点也没办法独立行动啊。']
220. ['时雨', '「哥哥，这次保证不会再有任何问题了。」']
221. ['时雨', '「请您抱著坐上豪华客船的心情，安心交给我们吧。」']
222. ['枫', '「哈啰～虽然很麻烦，不过我们还是来了。」']
223. ['桂', '「午安啊，嘉祥～。我们来帮忙啰～」']
224. ['嘉祥', '「不好意思，小枫、小桂。还麻烦妳们特地过来。」']
225. ['枫', '「就是说啊。人家可是特地为了你跑来，你可要好好感谢我才行喔？」']
226. ['桂', '「这也是为了可爱的妹妹们嘛～请不用在意♪」']
227. ['时雨', '「我请小枫跟小桂来帮她们两个准备笔记测验了。」']
228. ['嘉祥', '「你说笔记测验……白天的实技示范就这样结束了吗？」']
229. ['巧克力', '「是！我们会好好用功的！请多指教啰，两位老师！」']
230. ['香草', '「嗯嗯，请两位多指教。」']
231. ['None', '……看来再怎么吐槽都没用啊……虽然我早料到事情会变成这样就是了。']
232. ['None', '考虑到刚刚的状况，这次我想大概没问题了吧……大概。']
233. ['时雨', '「那么，接下来就留给年轻猫娘自己去教，」']
234. ['时雨', '「我们兄妹俩坐下来悠闲地喝个茶吧。」']
235. ['嘉祥', '「咦？她们平常都是自己准备笔记测验的吗？」']
236. ['时雨', '「老师太多的话反而会导致效果不彰。俗话说人多嘴杂嘛。」']
237. ['时雨', '「对了，我作了一口萩饼过来，请哥哥务必尝尝看。」']
238. ['时雨', '「而且最近我刚好拿到一些不错的茶叶，配萩饼正好。」']
239. ['时雨', '「那么就先跟您借一下厨房啰。（快步离去）」']
240. ['嘉祥', '「……嗯，再怎么说我们家也有四只猫娘是在她的教育下考上带铃猫资格的嘛。」']
241. ['None', '总之，我决定暂时先默默观察情况再说。']
242. ['枫', '「基本上只要打『俄罗斯字母』就会自己跑出来了。只要把这点记下来随时要用都很方便喔。」']
243. ['巧克力', '「好厉害～小枫妳真是太厉害了！没有妳打不出来的颜文字耶！」']
244. ['巧克力', '「简直就是大师！颜文字大师！超帅的～！」']
245. ['枫', '「呵呵，巧克力的反应果然很让人满意呢。」']
246. ['枫', '「不过，这点程度还没什么好值得惊讶的喔？再来让妳看看LIME贴图吧。」']
247. ['巧克力', '「哇～！好可爱，这个超可爱的～！这是什么！？跟人家说这是什么嘛！？」']
248. ['桂', '「香草，做好心理准备了吗～？」']
249. ['桂', '「首先，花里面啊～有那个，雄蕊跟雌蕊啊～」']
250. ['桂', '「然、然后喔？雄蕊跟雌蕊两边呢，」']
251. ['桂', '「就会那个，咕啾咕啾地相爱，然后……咕啾咕啾完，就会生出小宝宝……哈啊……♪」']
252. ['香草', '「小桂，别再发情了，正经点教啦。」']
253. ['桂', '「什、什么发情……！人、人家好歹也是带铃猫兼妳的姊姊……」']
254. ['桂', '「不要把理科的教科书……说、说得好像是健康教育的教科书一样嘛……！」']
255. ['香草', '「姊姊妳也太没姊姊的样子了吧。」']
256. ['桂', '「喵啊啊啊……！不可以，不要用那种眼神看我……！喵～～……♪」']
257. ['嘉祥', '「……所以这又是在干嘛？」']
258. ['时雨', '「因为通过考试的必要条件中包含了必须理解一般常识跟拥有小学生程度的学力。」']
259. ['时雨', '「毕竟近年来开始有人利用猫娘犯罪，所以才需要教导猫娘人类社会的一般知识啊。」']
260. ['嘉祥', '「我怎么看都觉得她们只是在玩手机程式跟朗读有点那个的书籍……」']
261. ['时雨', '「啊，哥哥，这边这个加了黄豆粉的也很美味喔。来，啊～」']
262. ['None', '我嚼著时雨递出来的一口萩饼，一边观察猫娘们的读书会风景。']
263. ['None', '我敢说这绝对不是什么读书会。这一点也不像是读书会的样子。']
264. ['None', '至少跟我认知中的读书会有根本上的不同。']
265. ['None', '我开始担心交给小枫跟小桂有没有问题了。']
266. ['时雨', '「哥哥您看，这个贴图可不可爱？」']
267. ['时雨', '「时雨当初只是作了几个试试而已，不过在网路上倒也挺有人气的喔？」']
268. ['嘉祥', '「咦……巧克力跟香草？还穿著这里的制服……？」']
269. ['None', '出现在画面上的是二头身的巧克力和香草。']
270. ['None', '只见她们一下拿著看板，一下打起瞌睡，模样确实很可爱。']
271. ['None', '虽然我不太懂LIME好玩在哪里，']
272. ['None', '不过时雨作的这些图案确实很有特色。']
273. ['嘉祥', '「妳真的是……从以前就有很多无谓的才能呢。」']
274. ['时雨', '「因为我觉得这样可以帮哥哥的店多增加一点名声嘛。」']
275. ['时雨', '「谁叫哥哥光有作西点的才能，却一点经营的才能都没有呢。」']
276. ['None', '说起来，时雨从以前开始就对网路之类的资讯清楚的不得了……']
277. ['None', '我就觉得奇怪，怎么可能才开店第二天就突然人气大增呢。']
278. ['None', '而且我也终于知道为什么会有那么多客人告诉我说是被食记跟Dwitter吸引过来的了。']
279. ['时雨', '「这也是我这个妹妹的爱呀。哥哥您愿意给我一点夸奖吗？」']
280. ['嘉祥', '「啊啊，妳帮了我一个大忙呢。谢谢妳愿意帮我这么多。（摸头）」']
281. ['时雨', '「欸嘿嘿。时雨最喜欢让哥哥摸头了。欸嘿嘿～♪」']
282. ['None', '只见时雨舒服的瞇起眼睛，还发出撒娇一般的声音。']
283. ['None', '说真的，有时雨这个机灵的妹妹在真是太好了。']
284. ['None', '我怀著感激的心情，继续摸著这位小小功劳者的头。']
285. ['枫', '「其实，不管遇上什么困扰基本上只要打110就能解决了。」']
286. ['枫', '「顺带一提，遇上生命危险的时候要打119。只要记住这两点就行啰。」']
287. ['巧克力', '「小枫，手机说明天会下雨，天气会很潮湿耶！」']
288. ['桂', '「然、然后小虫呢，就会把那个，精、精子……精液……」']
289. ['桂', '「啊不对！运的应该是花粉……是花粉才对啦！哈啊……♪」']
290. ['桂', '「等虫子飞到雌蕊上啊～就会在上面做这个做那个，然后花就会怀孕哈呜～……♪」']
291. ['香草', '「虫子要代替花蕊H吗？代理H？」']
292. ['桂', '「喵～～……♪一、一个女孩子家怎么可以随便讲什么H呢，真是羞死人了……♪」']
293. ['桂', '「人类社会里的女孩子……没、没有抱著羞耻心是不行的哟……！？」']
294. ['桂', '「没想到香草居然会讲出这种话……小桂要湿掉了啦～～……♪」']
295. ['香草', '「小桂，妳的口水流得满身都是。我擦我擦。」']
296. ['嘉祥', '「……我一直想问一个问题，」']
297. ['嘉祥', '「这个带铃猫资格，真的是让猫娘能够独自外出的资格吗？」']
298. ['时雨', '「我们家的猫娘可是都很优秀的。」']
299. ['时雨', '「回去我会帮她们再召开反省会，所以哥哥您尽管放心。」']
300. ['时雨', '「由于我早就料到事情会变成这样，所以特地带了这本『资格考教战手册‧虎之卷』过来。」']
301. ['时雨', '「哥哥身为巧克力跟香草的饲主，请务必读熟这本手册好好帮忙她们俩喔。」']
302. ['嘉祥', '「身为饲主，我会加油的。」']
303. ['None', '没想到她连这种情况都料到了。']
304. ['None', '总之，我把差点出口的无趣吐槽给吞回去之后，']
305. ['None', '又开始望著毫无进展的读书会发起呆来。']
306. ['嘉祥', '「嗯，再来就只剩苹果派的内馅要作了。」']
307. ['None', '我指著准备清单上的字喃喃自语道。']
308. ['None', '现在时间已经过了晚上九点，']
309. ['None', '虽然说带铃猫资格的读书会花掉不少时间，不过毕竟是假日，跟平时的准备工作比起来时间上多少有些余裕。']
310. ['巧克力', '「主人，主人～！你看你看～！」']
311. ['香草', '「我们终于超越猫娘的极限了。完美。」']
312. ['嘉祥', '「妳们超越极限的速度还真快啊。」']
313. ['巧克力', '「在对主人的爱面前，一切都不是问题。（脸红）」']
314. ['嘉祥', '「不用学时雨也没关系啦。」']
315. ['None', '时雨她们回去以后，两人才念了不到两个小时的书而已。']
316. ['None', '我看顶多只到念完乘法的程度吧？']
317. ['香草', '「唔，看主人这张表情，你一定觉得我们才刚念完除法而已吧？」']
318. ['None', '可惜，把进度再减少一点的话就答对了。']
319. ['None', '不过要是我这么说肯定会打击到她们的士气，所以还是别说出来的好。']
320. ['巧克力', '「哼哼哼～主人！你可以试著搔巧克力的喉咙看看！」']
321. ['巧克力', '「巧克力会摆出一张扑克脸，努力忍住来自本能的喜悦的！」']
322. ['嘉祥', '「像这样吗？（搔喉咙）」']
323. ['巧克力', '「咕噜咕噜咕噜咕噜～♪」']
324. ['嘉祥', '「根本就不行嘛。」']
325. ['巧克力', '「喵──！有什么办法，谁叫最喜欢的主人就在面前嘛！」']
326. ['巧克力', '「可别以为巧克力是对什么人都会咕噜叫的轻浮猫娘喔！！」']
327. ['香草', '「巧克力，来搔搔喉咙～」']
328. ['巧克力', '「咕噜咕噜咕噜咕噜～♪」']
329. ['嘉祥', '「根本就不行嘛。」']
330. ['None', '而且连香草都开始咕噜咕噜叫了。']
331. ['None', '真不晓得她们到底是来干嘛的。']
332. ['巧克力', '「那、那香草妳也来试试看！看妳忍不忍得住！！」']
333. ['香草', '「那还用说。我的胆子可是大到连出奇不意的拍手声都吓不倒我。」']
334. ['香草', '「来吧主人，喜欢从哪里来都没问题。」']
335. ['嘉祥', '「那，这样如何？（搔喉咙）」']
336. ['香草', '「嗯……呼、啊……♪嗯、嗯嗯，嗯嗯～……♪」']
337. ['嘉祥', '「…………（搔喉咙）」']
338. ['巧克力', '「主人你看你看！香草的尾巴！尾巴立得直挺挺的！！」']
339. ['巧克力', '「好像要天元突破一样！香草看起来超高兴的！！」']
340. ['香草', '「不、不是啦……！这、这是因为……！」']
341. ['香草', '「因为有巧克力在旁边，我的爱才会失控……！」']
342. ['嘉祥', '「到时妳们两个不是要一起考试吗。」']
343. ['None', '这理由根本不成借口嘛。']
344. ['None', '说穿了，香草也就只是比较沉默一点而已，骨子里其实跟巧克力差不多坦率。']
345. ['巧克力', '「刚刚只是不小心失败而已！」']
346. ['巧克力', '「主人你快考我们其它项目！这次保证绝对没问题！」']
347. ['香草', '「没错，我们在其它项目都已经达到及格标准了。」']
348. ['香草', '「主人你可以用这里的猫咪克星专栏来考我们试试。」']
349. ['嘉祥', '「嗯，这个专栏是吗……」']
350. ['None', '我接过虎之卷，将上面的旧题目从头到尾看了一遍。']
351. ['None', '当中确实涵盖了许多猫咪的习性。']
352. ['嘉祥', '「那我就从最上面一项一项考下来啰？」']
353. ['巧克力', '「主人你放心！身为主人的爱猫，没有什么可以难倒我们的！」']
354. ['香草', '「Don't worry～」']
355. ['嘉祥', '「来。」']
356. ['巧克力＆香草', '「（嗅嗅嗅）」']
357. ['嘉祥', '「忍耐测验，不及格～」']
358. ['嘉祥', '「还有，我的手刚刚才摸过蓝起司而已。」']
359. ['巧克力＆香草', '「呜喵～～～……！！」']
360. ['嘉祥', '「嗯，弗勒门反应也不及格。」']
361. ['嘉祥', '「下一个是……」']
362. ['巧克力＆香草', '「喵────！？」']
363. ['巧克力', '「啊啊……啊、啊啊……主、主人……啊呜呜呜～……」']
364. ['香草', '「嘶──！主人你做什么！嘶──！」']
365. ['嘉祥', '「奇袭测验也不及格～」']
366. ['巧克力', '「喵喵！喵，喵喵喵！！」']
367. ['香草', '「喵喵！喵，喵喵喵！！」']
368. ['巧克力', '「呜喵喵喵喵喵！喵喵！喵喵喵──！！」']
369. ['香草', '「呜喵喵喵喵喵！喵喵！喵喵喵──！！」']
370. ['嘉祥', '「逗猫棒，不及格～」']
371. ['巧克力', '「唔嘿嘿嘿～♪～♪」']
372. ['巧克力', '「木天蓼真是太棒了喵～咕噜咕噜咕噜～♪」']
373. ['香草', '「好像连脑髓都要融化掉的快感……不行，实在太赞了……♪」']
374. ['香草', '「再来，再多来点啊～喵呼呼嘿嘿呼呵呵～♪」']
375. ['嘉祥', '「木天蓼也不及格～」']
376. ['巧克力', '「喵哈哈哈～♪香草，主人说不及格耶～啊哈哈哈哈～♪」']
377. ['香草', '「一切都无所谓～我要跟著木天蓼一起进入梦乡了～Zzz……」']
