1. ['巧克力', '「主人，外送的东西准备好了～！麻烦主人确认一下！」']
66. ['香草', '「我只是觉得主人不该丢著我一个人跟巧克力卿卿我我，更不该玩弄巧克力的感情而已。气呼呼。」']
67. ['None', '还说妳没有生气……']
68. ['None', '再说我根本就没有玩弄巧克力的感情。']
69. ['None', '总之把重点统整起来，结论就是……']
70. ['嘉祥', '「所以说妳是在吃醋吗？」']
71. ['嘉祥', '「抱歉，以后我会注意的。」']
72. ['香草', '「才不是吃醋，我只是在表达正当意见而已。」']
73. ['None', '「好好好我知道了。对不起喔，以后我们会更自重一点的。」']
74. ['香草', '「这种敷衍的口气反而叫人更不愉快。」']
75. ['嘉祥', '「知道了啦。好乖好乖。」']
76. ['None', '我伸手摸摸脸颊嘟得圆鼓鼓的香草。']
77. ['None', '真没想到香草会吃我们的醋，']
78. ['None', '我还以为她在这方面要更迟钝一点呢。']
79. ['None', '不过也难怪，毕竟从小就在一起的巧克力突然把爱情都放到我身上了嘛。']
80. ['None', '身为饲主，以后我可得多放点心思在她身上才行。']
81. ['嘉祥', '「话说回来……」']
82. ['香草', '「怎么了？」']
83. ['嘉祥', '「香草的发情期还没来吗？」']
84. ['香草', '「变态。」']
85. ['嘉祥', '「不是不是，我只是在担心妳的身体而已啦。」']
86. ['香草', '「变态。色狼。大色狼蛋糕师傅。」']
87. ['嘉祥', '「……算了，妳没有问题的话就好。」']
88. ['None', '我可是真心为她担心的说……']
89. ['None', '就在我想著这些事的同时，香草的冷漠视线依旧不断地刺在我身上。']
90. ['嘉祥', '「巧克力，可以麻烦你顾一下店吗？」']
91. ['巧克力', '「没问题～交给巧克力吧！」']
92. ['嘉祥', '「香草来厨房帮我一下。」']
93. ['香草', '「嗯？我吗？」']
94. ['香草', '「有种会被要求做色色事情的预感。」']
95. ['嘉祥', '「什么跟什么。」']
96. ['None', '香草似乎还在生气的样子。']
97. ['None', '而且刚刚她是不是又在灌输巧克力什么奇怪的观念了？']
98. ['None', '总之现在先不管这个……']
99. ['嘉祥', '「今天开始我会慢慢教妳一些蛋糕的作法。」']
100. ['香草', '「喔喔，作蛋糕……！这么说我身为猫娘的等级又往上提升一级了吗……！」']
101. ['香草', '「……可是为什么只教我？该不会是为了色色的目的？」']
102. ['嘉祥', '「拜托别再把话题扯回色色的事情上了啦。」']
103. ['香草', '「我有点爱上这个搞笑方式了。别冀望我会反省。」']
104. ['None', '她还是老样子爱搞笑。']
105. ['None', '是说也没什么好反省的就是了。']
106. ['嘉祥', '「回到正题吧。虽然巧克力在看板猫娘这方面的表现没什么好挑剔的，」']
107. ['嘉祥', '「不过我完全不觉得她适合当个蛋糕师傅。」']
108. ['香草', '「啊─……如果是巧克力，八成会照当天的心情乱做一通吧。可以理解。」']
109. ['None', '香草很快就了解到我会选她的理由。']
110. ['None', '如果只是单纯作兴趣，一点失败其实没什么好在意的。不过嘛……']
111. ['嘉祥', '「就是这么回事。先从怎么调配面糊教起可以吗？」']
112. ['香草', '「没问题。那我就勉为其难地跟主人学学吧。」']
113. ['香草', '「请多指教了，主人老师。（鞠躬）」']
114. ['None', '看来她似乎挺乐在其中的。']
115. ['香草', '「主人，来个面硬浓厚油花（奶油）多的」']
116. ['嘉祥', '「我们店里没有提供这种客制服务啦。」']
117. ['香草', '「说不定会引起一阵风潮喔。Nice idea。」']
118. ['嘉祥', '「可惜蛋糕配方没办法一个一个调整，妳还是放弃吧。」']
119. ['嘉祥', '「现在不需要什么改良方案，总之妳先把基础打好再说。」']
120. ['香草', '「好～我尽量～」']
121. ['None', '虽然回答得有些暧昧，不过香草量起材料份量来倒是一点也不马虎。']
122. ['None', '不仅如此，道具的用法跟材料名称也马上就记得一清二楚，']
123. ['None', '对于我的指示更是一律遵守，没有半句怨言。']
124. ['嘉祥', '「香草学起东西来真的很快呢。」']
125. ['嘉祥', '「而且手艺也比我想像中灵巧。」']
126. ['香草', '「懒散的猫娘才是真正有才能的猫娘啊，主人老师。」']
127. ['None', '香草得意地挺起那张没什么份量的胸脯。']
128. ['None', '……这件制服对香草来说或许还早了点。']
129. ['None', '不过既然是本人自己挑的，']
130. ['None', '或许这是她展现自己魅力的方式也说不定。']
131. ['None', '一瞬间，脑中闪过了这些莫名其妙的思考。']
132. ['香草', '「时雨也称赞过我学东西很快。嗯哼。」']
133. ['嘉祥', '「真的吗？我还是第一次听说呢。」']
134. ['香草', '「毕竟平常不太会聊到这种事嘛。」']
135. ['香草', '「而且主人也不喜欢追问其他人的私事对吧。」']
136. ['嘉祥', '「……说得也是。」']
137. ['None', '平常闲聊的时候我们都不会去追究对方的私事，']
138. ['None', '再说香草也不是那种会把自己的事跟别人分享的类型。']
139. ['None', '这么说来，我好像很少听香草提起过自己的事呢。']
140. ['香草', '「其实我不讨厌跟主人之间的这种距离感。」']
141. ['香草', '「这样反而比较自由，还可以维持自己的步调。」']
142. ['None', '说完，香草露出了和平常一样的微笑。']
143. ['None', '既然香草觉得这样最好，']
144. ['None', '那我也不会多说什么。']
145. ['None', '话是这么说……']
146. ['嘉祥', '「香草不喜欢我干涉妳的事吗？」']
147. ['香草', '「……咦？干涉？」']
148. ['None', '只见香草歪著头眨了眨眼，']
149. ['None', '然后皱起眉头，手伫著下巴开始思考起来。']
150. ['None', '过了没多久，只见她双手一敲朝著我说道──']
151. ['香草', '「原来如此，这是在泡我吗？」']
152. ['嘉祥', '「别再扯到那里去了啦。」']
153. ['None', '我轻敲一下香草的头。']
154. ['None', '人家正在说正经事，这小鬼难道就不能正经点吗……']
155. ['None', '为了挽回气氛，我重新跟香草面对面。']
156. ['嘉祥', '「我倒是有点想拉近跟香草之间的距离呢。」']
157. ['香草', '「拉近跟我的距离？现在这样还不够近吗？」']
158. ['嘉祥', '「我不是说物理上的距离啦。」']
159. ['嘉祥', '「我是想多了解香草一点，好跟妳加深感情啊。」']
160. ['None', '这次我温柔地拍拍香草的头。']
161. ['None', '只是香草依然一脸疑惑地看著我。']
162. ['嘉祥', '「虽然这样的距离感也不错……」']
163. ['嘉祥', '「不过，我好歹也是妳们两个的正式饲主不是吗？」']
164. ['嘉祥', '「所以……」']
165. ['嘉祥', '「我想多知道一些有关香草的事，这样才能更了解香草啊。」']
166. ['嘉祥', '「毕竟香草也是我最珍惜的猫娘嘛。」']
167. ['香草', '「主人……」']
168. ['None', '毕竟巧克力那件事是托了香草的福才能解决，']
169. ['None', '而且正如香草所说，我对香草实在不怎么了解，']
170. ['None', '所以才会想知道更多有关于她的事。']
171. ['None', '毕竟我们三个可是要一起度过一生的家人啊。']
172. ['香草', '「…………」']
173. ['香草', '「……我拿这种正经气氛最没辙了。」']
174. ['香草', '「主人你也是，明知道自己不擅长讲正经话……」']
175. ['None', '……没想到香草也会有这么可爱的反应。']
176. ['None', '只见她涨红著一张脸，']
177. ['None', '嘟著嘴念念有词的同时还一面抬起双眼盯著我看。']
178. ['None', '真意外，看来她对这种正面攻势似乎没什么抵抗力的样子。']
179. ['嘉祥', '「哎，我当然也知道自己不适合说这种话……」']
180. ['嘉祥', '「不过我还是想好好把这件事告诉妳，」']
181. ['嘉祥', '「至少得让妳知道我是这么想的嘛。」']
182. ['None', '即使知道自己不擅长说这些，']
183. ['None', '我还是苦笑著对香草道出了自己的心声。']
184. ['香草', '「……主人果然是在泡我。」']
185. ['嘉祥', '「就说了不是嘛──」']
186. ['香草', '「……嗯，我知道。刚才是开玩笑的。」']
187. ['香草', '「主人的心意已经传达给我了，所以没问题。」']
188. ['None', '……真可爱。']
189. ['None', '那想必是她出自内心的笑容吧。']
190. ['None', '见到香草平常不会显露在人前的一面，我不禁感到心跳加速。']
191. ['None', '不对不对不对不对！']
192. ['None', '现在我们可是在谈正经事，']
193. ['None', '不是被香草迷住的时候啊！']
194. ['香草', '「……嗅、嗅。」']
195. ['香草', '「嗯？这个味道是……？嗅嗅嗅……」']
196. ['嘉祥', '「嗯？香草妳怎么了？」']
197. ['香草', '「好像……（嗅嗅）有种甜甜的香味……（嗅嗅）」']
198. ['嘉祥', '「咦？喂，香草……！？」']
199. ['香草', '「嗅嗅、嗅嗅……♪」']
200. ['香草', '「哈啊……好香好甜的味道……♪」']
201. ['嘉祥', '「那个……我说香草小姐……？」']
202. ['嘉祥', '「妳会不会离我太近了……」']
203. ['None', '与其说近，不如说已经贴上来了。']
204. ['None', '只见香草把脸埋在我的胸口闻个不停。']
205. ['香草', '「呼啊～好浓、好甜的香味……♪」']
206. ['香草', '「人家的脑袋里好像要哗～地融化一样，哗～地……♪」']
207. ['香草', '「味道好像是从这传来的……♪主人……♪」']
208. ['None', '香草抬起头，将脸凑向我的脖子。']
209. ['None', '来自密著的身体与柔唇的感触。']
210. ['None', '香草的香气与柔软触感不断从全身上下传来。']
211. ['嘉祥', '「呜啊……！香、香草……！？」']
212. ['香草', '「…………啊！」']
213. ['香草', '「不、不是的……！刚刚那是弗列门反应……！」']
214. ['嘉祥', '「咦？弗列门反应不是――」']
215. ['香草', '「是弗列门反应。我说是就是。」']
216. ['嘉祥', '「……啊，嗯。那就当作是弗列门反应吧。」']
217. ['香草', '「很好。那我要回归平常业务了。」']
218. ['嘉祥', '「…………算了。」']
219. ['None', '总之就别在意太多了吧。']
220. ['巧克力', '「谢谢惠顾～！」']
221. ['巧克力', '「主人～♪帮人家搔喉咙嘛～咕噜咕噜♪」']
222. ['嘉祥', '「喂喂，我不是说过还在营业的时候不可以撒娇吗？」']
223. ['巧克力', '「现在没有客人所以不要紧啦！只要一下下就好！」']
224. ['嘉祥', '「好好好。只有一下下而已喔？」']
225. ['巧克力', '「耶～咕噜咕噜咕噜咕噜～♪」']
226. ['巧克力', '「好～充电结束！」']
227. ['巧克力', '「那巧克力去倒垃圾啰～！」']
228. ['嘉祥', '「……真拿她没办法。」']
229. ['香草', '「（盯～）」']
230. ['嘉祥', '「嗯？怎么了香草？」']
231. ['香草', '「开始测量主人的色瞇瞇程度。哔哔哔。」']
232. ['香草', '「测量结果，斗牛犬等级。」']
233. ['嘉祥', '「妳的测量结果也太充满恶意了吧。」']
234. ['嘉祥', '「还有，妳从刚刚就一直在盯著我看对不对？」']
235. ['香草', '「才没有。人家可是很认真工作的。」']
236. ['嘉祥', '「我又没有说妳在偷懒。」']
237. ['香草', '「我说没有就是没有。主人实在太自我意识过剩了。」']
238. ['嘉祥', '「不是，我是说……」']
239. ['香草', '「变态。」']
240. ['嘉祥', '「好吧，没事。」']
241. ['None', '明明从刚刚开始就一直看著我这边的说……']
242. ['None', '难不成是反抗期到了吗？']
243. ['None', '虽然我不知道猫娘有没有反抗期就是了。']
244. ['嘉祥', '「总之先看看今天的业绩好了。」']
245. ['None', '我不理香草，迳自朝收银台走去。']
246. ['香草', '「…………」']
247. ['香草', '「…………（贴上）」']
248. ['嘉祥', '「…………嗯？」']
249. ['香草', '「嗅嗅、嗅嗅嗅……」']
250. ['香草', '「吸～哈啊～……吸～～哈啊啊～……♪」']
251. ['嘉祥', '「…………我说，香草？」']
252. ['香草', '「嗯嗯～？嗯嗯嗯～～？」']
253. ['香草', '「喵！？喵喵喵！？」']
254. ['香草', '「主人，你干嘛靠在我身上？」']
255. ['嘉祥', '「等等，」']
256. ['嘉祥', '「明明就是香草妳自己靠上来的吧。」']
257. ['香草', '「……我？靠在主人身上？」']
258. ['香草', '「嗯……？嗯嗯嗯嗯……？？？」']
259. ['None', '香草露出一脸讶异的表情。']
260. ['None', '……好像在哪里看过这个反应。']
261. ['None', '昨天是不是才发生过一样的事？']
262. ['嘉祥', '「香草，妳该不会是……」']
263. ['香草', '「啊，我先去倒个垃圾。告辞。」']
264. ['嘉祥', '「垃圾巧克力刚刚已经──」']
265. ['嘉祥', '「…………」']
266. ['None', '刚刚那个样子，怎么看都跟昨天的巧克力一个样。']
267. ['None', '难不成香草的发情期也来了吗？']
268. ['None', '既然香草跟巧克力是双胞胎，']
269. ['None', '那么会在同一个时期发情也不奇怪……']
270. ['嘉祥', '「……看起来好像没有昨天的巧克力那么严重。」']
271. ['嘉祥', '「总之还是再观察一下情况再说吧……」']
272. ['巧克力', '「店里打扫完啰～！」']
273. ['巧克力', '「今天的打扫还是一样完美，完美到连巧克力自己都差点被自己迷上哟！」']
274. ['巧克力', '「所以了，巧克力想要主人摸摸头当作奖赏！」']
275. ['嘉祥', '「好乖好乖。妳做得很好喔（摸头）」']
276. ['香草', '「桌子还没擦喔。」']
277. ['巧克力', '「喵──！我马上去擦！用飞的去擦！喵～！」']
278. ['嘉祥', '「巧克力还是一样精神十足呢。」']
279. ['香草', '「这就是巧克力可爱的地方。」']
280. ['嘉祥', '「说得也是。」']
281. ['嘉祥', '「…………」']
282. ['嘉祥', '「……那个，香草妳不要紧吗？」']
283. ['香草', '「不要紧？什么不要紧？」']
284. ['嘉祥', '「就是……身体状况什么的。」']
285. ['香草', '「没问题。一切正常。」']
286. ['嘉祥', '「……是吗，那就好。」']
287. ['None', '香草看起来跟平常没什么两样。']
288. ['None', '昨天巧克力发情的时候可是连站都站不稳，']
289. ['None', '所以应该是我想太多了吧。']
290. ['嘉祥', '「那，厨房这边我也快打扫完了。」']
291. ['嘉祥', '「香草妳就去帮忙巧克力吧。」']
292. ['香草', '「了解。交给我吧。」']
293. ['嘉祥', '「……嗯？香草？」']
294. ['香草', '「喵……主人……♪（蹭来蹭去）」']
295. ['香草', '「嗅嗅、嗅嗅……喵呜……♪」']
296. ['香草', '「味道壁刚才变得更浓了……♪（蹭来蹭去）」']
297. ['嘉祥', '「啊，喂……香草……？」']
298. ['None', '香草突然从正面抱住我，']
299. ['None', '而且还不断把脸往我身上蹭。']
300. ['嘉祥', '「香、香草？冷静点，冷静点好吗？」']
301. ['香草', '「呼喵～……？时雨可是称赞过人家是只聪明的……」']
302. ['香草', '「……哇！？」']
303. ['香草', '「不、不是的……！刚刚那是弗列门反应……！」']
304. ['嘉祥', '「够了够了，别再来这套啦。」']
305. ['香草', '「超越弗列门反应的弗列门反应，简称超弗列门反应。」']
306. ['嘉祥', '「我在帮妳们准备资格考的时候早就看过真正的弗列门反应了啦。」']
307. ['嘉祥', '「而且妳不是也说过发情期没有好好发散精力对身体不好吗？」']
308. ['香草', '「不对。这才不是发情期。绝对不是那种丢脸的事。」']
309. ['嘉祥', '「跟丢不丢脸没有关系吧……」']
310. ['None', '香草依然打死不承认。']
311. ['None', '话说回来，原来发情期对猫娘来说是很丢脸的事啊？']
312. ['None', '我还以为猫娘在这方面从来不会想太多……']
313. ['巧克力', '「…………（盯～）」']
314. ['嘉祥', '「啊，巧克力。」']
315. ['香草', '「怎么了，干嘛那副表情？」']
316. ['巧克力', '「……香草？」']
317. ['香草', '「喵、喵！？等等，巧克力……！」']
318. ['巧克力', '「嗯……啾、唔嗯、嗯……哈嗯、啾……」']
319. ['香草', '「喵……！啊，等等，巧克力……嗯、喵啊啊……！」']
320. ['香草', '「巧、巧克力……！妳做什……喵、嗯嗯……！」']
321. ['巧克力', '「啊哈，香草的声音真可爱……♪嗯、啾、啾噜、啾噜……」']
322. ['None', '只见巧克力的双唇与舌头不断在香草脖子上游走。']
323. ['None', '随著黏稠水声不断响起，香草的身体也不断扭动。']
324. ['香草', '「哈啊……不行，巧克力……！喵、呀、啊啊啊……！」']
325. ['巧克力', '「嘻嘻，是不是全身使不上力了呀♪香草真可爱♪」']
326. ['巧克力', '「人家从来没看过香草这么可爱的表情呢。哈啊……♪」']
327. ['嘉祥', '「啊、喂，巧克力……！」']
328. ['巧克力', '「嘻嘻。不要紧的哟，主人？」']
329. ['嘉祥', '「不要紧……？」']
330. ['巧克力', '「因为香草现在正值发情期呀，对吧？」']
331. ['香草', '「不、不对……！我才没有……！」']
332. ['巧克力', '「嘻嘻，要瞒过同样身为猫娘的巧克力可没那么容易哟～」']
333. ['巧克力', '「妳看妳，身上的味道已经浓成这样了……♪」']
334. ['香草', '「巧、巧克力……！」']
335. ['巧克力', '「而且呀，巧克力都跟香草在一起这么久了不是吗？」']
336. ['巧克力', '「香草妳昨天不也一眼就看出巧克力在发情？」']
337. ['香草', '「巧克力……」']
338. ['None', '香草低下头，不再反驳。']
339. ['None', '只见她顶著一张红通通的脸不断轻喘，']
340. ['None', '眉头也像是在忍耐什么似地皱得紧紧的。']
341. ['嘉祥', '「……香草，这是真的吗？」']
342. ['None', '我用饲主的口气再一次询问香草。']
343. ['香草', '「…………」']
344. ['None', '脸上带著困惑神色的香草抬起眼神看向我。']
345. ['None', '在一瞬间的犹豫后──']
346. ['香草', '「…………（点头）」']
347. ['None', '香草轻轻点了点头。']
348. ['嘉祥', '「果然没错。」']
349. ['None', '这副模样老实说要让人不怀疑也难。']
350. ['None', '……不过，这样一来我就非得帮忙她发散精力不可了。']
351. ['None', '毕竟香草自己也说过，没有好好把精力发散掉的话是会把身体搞坏的。']
352. ['None', '但这也表示，我必须对她作跟巧克力一样的事──']
353. ['香草', '「…………」']
354. ['None', '不行不行不行不行！！']
355. ['None', '就算是饲主，再怎么说这也太……！！']
356. ['巧克力', '「看了巧克力跟主人亲热的模样，香草也开始想要了吗？」']
357. ['香草', '「不、不对……！才没有那回事……！」']
358. ['巧克力', '「巧克力不是才刚说过，妳是瞒不过巧克力的吗？」']
359. ['香草', '「啊……！巧、巧克力……！？」']
360. ['香草', '「喵啊……！巧克力……！」']
361. ['香草', '「呀、啊啊……！啊，巧克、力……！啊、喵啊啊……！」']
362. ['巧克力', '「哇啊……♪看妳一脸若无其事的样子，里面居然湿成这样……」']
363. ['香草', '「啊……！啊、啊呜呜……！不行，手指不要……啊啊……！！」']
364. ['None', '我忍不住倒吞一口气。']
365. ['None', '现在的我不仅一句话都说不出口，']
366. ['None', '视线也完全无法从眼前的两只猫娘身上移开。']
367. ['巧克力', '「唔呼呼♪说说妳是从什么时候开始湿成这样的呀～？」']
368. ['巧克力', '「该不会刚刚站在店里的时候，底下就已经是大洪水了吧？」']
369. ['香草', '「就、就说没那回事了……！啊、嗯啊啊……！啊、喵啊啊……！！」']
370. ['香草', '「哈啊、哈啊啊……！拜托，住手……！嗯呜……！」']
371. ['巧克力', '「谁叫香草要说谎呢？」']
372. ['巧克力', '「不老实承认的话，巧克力是不会停手的喔……♪」']
373. ['香草', '「承、承认什么……」']
374. ['香草', '「喵啊……！巧克力……！」']
375. ['None', '咕啾。']
376. ['None', '声音大得连我都能听到。']
377. ['香草', '「呀、啊啊……！啊，巧克、力……！啊、喵啊啊……！」']
378. ['None', '咕啾。咕啾。咕啾。']
379. ['None', '随著巧克力指尖的动作，']
380. ['None', '水声不断从香草的裙子中传出。']
381. ['巧克力', '「哇啊……♪看妳一脸若无其事的样子，里面居然湿成这样……」']
382. ['巧克力', '「连内裤也全都湿透了呢……♪」']
383. ['香草', '「啊……！啊、啊呜呜……！不行，手指不要……啊啊……！！」']
384. ['None', '我忍不住倒吞一口气。']
385. ['None', '现在的我不仅一句话都说不出口，']
386. ['None', '视线也完全无法从眼前的两只猫娘身上移开。']
387. ['巧克力', '「唔呼呼♪说说妳是从什么时候开始湿成这样的呀～？」']
388. ['巧克力', '「该不会刚刚站在店里的时候，底下就已经是大洪水了吧？」']
389. ['香草', '「就、就说没那回事了……！啊、嗯啊啊……！啊、喵啊啊……！！」']
390. ['香草', '「哈啊、哈啊啊……！拜托，住手……！嗯呜……！」']
391. ['巧克力', '「谁叫香草要说谎呢？」']
392. ['巧克力', '「不老实承认的话，巧克力是不会停手的喔……♪」']
393. ['香草', '「承、承认什么……」']
394. ['香草', '「……主人……」']
395. ['None', '香草朝我送来求救的视线。']
396. ['巧克力', '「不可以跟主人求救～」']
397. ['巧克力', '「不乖乖说出来的话，香草也很难受吧？」']
398. ['巧克力', '「只要乖乖坦白，就可以得到巧克力跟主人的疼爱啰……♪」']
399. ['香草', '「巧克力跟，主人……？」']
400. ['香草', '「…………」']
401. ['None', '香草雪白的喉咙动了一下。']
402. ['None', '由于香草脸上的陶醉表情实在太过诱人，']
403. ['None', '连我也不禁跟著吞下一口口水。']
404. ['香草', '「……还不是因为主人说些奇怪的话……」']
405. ['嘉祥', '「奇怪的话……？」']
406. ['香草', '「……什么想要更了解我一点……」']
407. ['香草', '「都是因为主人乱说话，所以我才会……」']
408. ['香草', '「…………」']
409. ['None', '香草涨红了脸，害羞地低下头去。']
410. ['None', '她的眼神比刚才还要游移不定，']
411. ['None', '而且还不时朝我这边瞄过来。']
412. ['巧克力', '「嗯哼哼～香草还真可爱耶……♪」']
413. ['巧克力', '「居然只因为主人一句话就发情成这样啊？」']
414. ['香草', '「巧克力还不是一样……！」']
415. ['巧克力', '「嗯，一样啊♪所以香草心里在想什么我都清楚的很哟？」']
416. ['香草', '「……巧克力……」']
417. ['None', '巧克力继续抱著香草不放，']
418. ['None', '同时还将视线朝我这边送过来。']
419. ['巧克力', '「主人？你觉得呢？」']
420. ['嘉祥', '「觉得什么……？」']
421. ['巧克力', '「见到香草发情的模样，主人有没有什么感想呀？」']
422. ['嘉祥', '「感想……」']
423. ['嘉祥', '「……那个，香草毕竟也是我最珍惜的人之一，」']
424. ['嘉祥', '「所以只要香草愿意的话，我……」']
425. ['香草', '「主人……」']
426. ['None', '香草看向我，露出了小小的笑容。']
427. ['None', '接著，她低下那张像熟透苹果一样的脸，']
428. ['None', '做了一个深呼吸之后又重新朝我抬起头。']
429. ['香草', '「……既然是跟巧克力在一起，对象又是主人……」']
430. ['香草', '「那个，其实我不讨厌……就是、了……」']
431. ['嘉祥', '「香草……」']
432. ['香草', '「……可是主人，你真的愿意跟我……做吗？」']
433. ['香草', '「我又不像巧克力那么可爱……」']
434. ['嘉祥', '「傻瓜，香草怎么可能会不可爱呢？」']
435. ['嘉祥', '「虽然我是妳的饲主……」']
436. ['嘉祥', '「可是我不也说过，妳们都是我最珍惜的猫娘了吗？」']
437. ['香草', '「嗯，是说过。」']
438. ['None', '露出一道困惑的微笑之后，']
439. ['None', '香草不好意思地玩著两手指尖，']
440. ['None', '然后轻轻抬起视线朝我这边看来。']
441. ['香草', '「那……就拜托主人帮我解消欲望了……」']
