1. ['搬家公司', '「多谢惠顾！那我们就先告辞啦！」']
70. ['嘉祥', '「怎么连香草都跑来了……」']
71. ['香草', '「巧克力到哪里，我就会跟到哪里。」']
72. ['香草', '「而且猫本来就是喜欢往狭窄地方钻的生物。」']
73. ['香草', '「还有，他们在搬我的时候也说了『这箱也很重,要小心搬哦』。」']
74. ['香草', '「所以现在的我也跟巧克力一样气呼呼。」']
75. ['嘉祥', '「这样啊」']
76. ['嘉祥', '「总之妳们先从里面出来吧。」']
77. ['None', '说真的，我还真不知道该拿这两个突如其来的特大号行李怎么办，']
78. ['None', '现在只能把她们俩先请出纸箱再说了。']
79. ['嘉祥', '「时雨在搞什么……？」']
80. ['嘉祥', '「偏偏选在这种时候不接电话……」']
81. ['None', '不久，我便挂断了打给妹妹的电话。']
82. ['None', '老实说，我一点也不觉得巧克力跟香草自己有办法混进我的行李里。']
83. ['None', '虽然说她们的外表几乎与人类无异，']
84. ['None', '而且还懂得人话……']
85. ['None', '不过这依然不改她们是猫的事实。']
86. ['None', '只要看她们的猫耳和尾巴，']
87. ['None', '就可以知道她们是经过基因改良，通称『猫娘』的人型猫。']
88. ['None', '许多人把这些猫当成自己的伴侣、家人，']
89. ['None', '他们可以说是以宠物的身分完全融入了人类社会。']
90. ['None', '而说到我家的小妹呢，这个人可以说是已经到了爱猫成痴的地步，']
91. ['None', '巧克力跟香草就是我家猫娘六姊妹里的其中两只。']
92. ['None', '所以她们基本上不可能自己处理宅配事宜，']
93. ['None', '更别说宅急便根本不收生物了。']
94. ['None', '至于我的父母，当然不可能会提供协助。']
95. ['None', '也就是说，家里会打这种鬼主意的除了时雨以外没有其他人──']
96. ['嘉祥', '「……共犯是时雨准没错。」']
97. ['巧克力', '「喵～好漂亮的房子喵～♪」']
98. ['巧克力', '「新被窝跟新家具的气味也很棒呢喵～♪」']
99. ['香草', '「比想像中宽敞多了。不愧是主人，果然出手大方。」']
100. ['巧克力', '「香草快点！我们到那边的房间去探险！」']
101. ['香草', '「根据位置来看，那个方向应该是寝室。也就是说主人的新床铺就在那里。」']
102. ['巧克力', '「喵──！既然如此那有放过这个机会的道理呢！我们去蹭被窝吧！」']
103. ['香草', '「了解。我也觉得这主意很不错。」']
104. ['香草', '「既然决定了那就let's go～」']
105. ['嘉祥', '「小心别太兴奋把自己弄伤啦～」']
106. ['巧克力', '「好～♪」']
107. ['香草', '「知道了～」']
108. ['None', '既没恶意，也没有反省之意的两只猫娘的背影很快便从我的视线当中失去了踪影。']
109. ['None', '还好，因为是在店铺二楼的居住区，']
110. ['None', '所以不用担心会打扰到邻居。']
111. ['None', '而且她们两个也不是小猫了，']
112. ['None', '应该不用担心玩得太疯吧。']
113. ['嘉祥', '「比起她们两个……」']
114. ['None', '我打开手机通讯录，将视线移到某个号码上。']
115. ['None', '『水无月家』']
116. ['嘉祥', '「……算了。只要有来电记录，时雨应该会自己打过来吧。」']
117. ['None', '我没有按下通话键，而是把手机收回口袋。']
118. ['None', '毕竟我可是瞒著家人离家出走，']
119. ['None', '总不能还不到一天就打电话回家吧。']
120. ['None', '反正也不是什么分秒必争的急事，']
121. ['None', '晚点大概就会接到时雨的连络了。']
122. ['巧克力', '「主人的被窝已经蹭完啰！」']
123. ['香草', '「新被窝蓬松度十分良好，有及格水准。」']
124. ['嘉祥', '「那可真是多谢啦。」']
125. ['嘉祥', '「看看妳们两个，把头发弄得乱七八糟的。」']
126. ['巧克力', '「呼啊～巧克力最喜欢被主人摸头了～♪好舒服～♪」']
127. ['香草', '「哀家十分满意。快继续。」']
128. ['None', '我用手帮巧克力跟香草梳起头来。']
129. ['None', '两人的头发摸起来还是一样滑顺。']
130. ['None', '看著两只猫娘舒服地瞇起眼，我拍了拍她们俩的头。']
131. ['嘉祥', '「……所以，妳们两个为什么要混在行李里面偷偷跟过来？」']
132. ['巧克力', '「……还不是因为主人说什么都不带我们一起来，人家不得已只好出此下策……」']
133. ['香草', '「因为巧克力说要来，我一时兴起就跟来了。」']
134. ['嘉祥', '「又是不得已又是一时兴起的，妳们实在是……」']
135. ['None', '虽然说我早就知道会得到这种答案就是了……']
136. ['None', '总之，我拿出正经的态度朝两人开口。']
137. ['嘉祥', '「妳们两个听好了。」']
138. ['嘉祥', '「我应该已经说过很多次，这次我不是出来野餐或旅行，」']
139. ['嘉祥', '「而是抱著再也不回去的觉悟离开家里的。」']
140. ['嘉祥', '「在老家既不用烦恼生活，而且还有时雨跟其他猫娘们陪妳们，」']
141. ['嘉祥', '「所以待在那里对妳们来说──」']
142. ['巧克力', '「不、不是啦！这是因为，那个……!」']
143. ['巧克力', '「只是肚子刚好到了反抗期而已!!主人你可别误会啰!!人家是说真的!!」']
144. ['香草', '「没办法，毕竟我们从大清早就开始忙，没空吃早饭嘛。」']
145. ['香草', '「倒是巧克力连肚子叫的声音都很可爱呢。」']
146. ['None', '一面听著莫名其妙的辩解，我瞄了一下时钟，这才发现时间已经过了下午一点。']
147. ['None', '这么说起来，我好像也是从早上开始就没吃过东西。']
148. ['嘉祥', '「唉……总之先吃完午饭再说吧。」']
149. ['巧克力', '「有饭吃！耶～巧克力最喜欢主人了！」']
150. ['香草', '「不愧是主人，果然善解猫意。感激不尽。」']
151. ['None', '这两只猫娘还是我行我素的老样子。']
152. ['巧克力', '「买～东西买东西～♪」']
153. ['巧克力', '「跟～主人出门买东西，喵♪」']
154. ['香草', '「最近主人一直都没有带过我们出门购物，」']
155. ['香草', '「看巧克力兴奋的呢。喵～」']
156. ['巧克力', '「香草自己其实还不是很兴奋～♪」']
157. ['巧克力', '「嘿嘿，看我怎么“疼爱”妳这对脸颊～」']
158. ['香草', '「讨厌，巧克力，这样会痒啦……！」']
159. ['香草', '「喵、喵……不可以……♪」']
160. ['嘉祥', '「记得适可而止，别吵到别人了。」']
161. ['None', '由于冰箱里什么也没有，所以我们只好来到附近的商店街采购。']
162. ['None', '放眼望去，这条商店街从高级名牌店到超市、药妆、日常杂货等等，']
163. ['None', '各式各样的店铺可说是一应俱全。']
164. ['None', '『只要到这来几乎什么都买得到』']
165. ['None', '也难怪当初房地业者会这么跟我推荐了。']
166. ['嘉祥', '「说起来，妳们两个不是常常跟时雨一起出门逛街吗？」']
167. ['巧克力', '「呣～跟时雨出门和跟主人出门是两回事嘛！」']
168. ['香草', '「主人还真是一点身为主人的自觉都没有呢……巧克力真可怜。」']
169. ['嘉祥', '「妳们的主人明明就是时雨不是吗。」']
170. ['巧克力', '「时雨当然也是我们的主人，不过时雨是时雨，」']
171. ['巧克力', '「主人是主人！」']
172. ['巧克力', '「两者完全不一样对不对？对不对？」']
173. ['香草', '「虽然完全不成逻辑，不过可以感受到妳的热意。真不愧是巧克力。啪啪啪。」']
174. ['嘉祥', '「……算了。总之妳们可别在店里吵闹啊。」']
175. ['None', '无视于一如往常的两只猫，']
176. ['None', '我自顾自地朝目的地走去。']
177. ['巧克力', '「主人！时雨说这个牌子的洗发精很好用哟！」']
178. ['香草', '「洗完以后不止头发柔柔亮亮，还会散发出甜甜的香味。」']
179. ['嘉祥', '「这是妳们猫娘专用的吧。」']
180. ['嘉祥', '「我们家用不到，放回去。」']
181. ['巧克力', '「呜……主人你怎么可以这样……！」']
182. ['巧克力', '「居然一口就回绝了……！呜呜呜……」']
183. ['香草', '「巧克力乖，别哭喔。主人真是个无血无泪的人呢。」']
184. ['嘉祥', '「不要一边说一边把东西偷放进篮子！」']
185. ['香草', '「啧，防守真牢固。」']
186. ['None', '只要稍微不注意，这两个小鬼马上就会偷放东西进我的篮子里，一点也大意不得。']
187. ['None', '在上一家超市的时候她们也想偷偷多买一购物篮的东西，']
188. ['None', '真的是一点偷渡客的自觉也没有。']
189. ['巧克力', '「欸嘿嘿♪对不起喔，主人～」']
190. ['巧克力', '「因为太久没跟主人一起出来买东西了，所以特别兴奋嘛～」']
191. ['香草', '「谁叫猫就是这么随心所欲的生物呢。」']
192. ['香草', '「所以主人你可以更顺从自己的欲望一点。嘿。」']
193. ['嘉祥', '「跟欲不欲望的一点关系也没有吧。还有不要再偷偷把洗发精放进篮子了！快点放回去！」']
194. ['巧克力', '「主人，算人家求你了！」']
195. ['巧克力', '「拜托，拜托主人帮我们买罐洗发精吧！」']
196. ['香草', '「回家没有洗发精可以用实在太令人伤心了。头发出油对猫娘来说可是非常难过的一件事喔。」']
197. ['女性客人Ａ', '「连个洗发精都不愿意买，那两只猫娘真可怜……」']
198. ['女性客人Ｂ', '「是不是该报案说有人虐待猫娘比较好……？」']
199. ['嘉祥', '「拜托妳们别在光天化日下演这种容易招人误会的小剧场好不好!?」']
200. ['None', '刚搬到这块土地来没多久，']
201. ['None', '我们马上就受到了众人的异样眼光对待。']
202. ['巧克力', '「跟主人出门真开心♪」']
203. ['巧克力', '「巧克力现在简直开心得想唱歌呢！喵喵喵♪」']
204. ['香草', '「可惜主人最后还是什么也没帮我们买。真小气。」']
205. ['嘉祥', '「小气个头，」']
206. ['嘉祥', '「差点就有人要报案说我虐待动物了好不好。」']
207. ['None', '结果，在下一间超市还是上演了同样的戏码。']
208. ['None', '接下来我恐怕有好一阵子都不敢到那条商店街去了吧。']
209. ['None', '……虽然说猫就是这点可爱就是了。']
210. ['香草', '「嗯？嗅嗅嗅……」']
211. ['香草', '「那里有阵香味传来。」']
212. ['巧克力', '「真的耶，主人！好香的味道喔！」']
213. ['嘉祥', '「真的呢。这个味道是……」']
214. ['None', '我循著香味传来的方向看去。']
215. ['摊位上的猫', '「欢迎光临──！」']
216. ['摊位上的猫', '「要不要来盒好吃的章鱼烧呢──？」']
217. ['摊位上的猫', '「热腾腾又洒满柴鱼片的章鱼烧喔──！」']
218. ['巧克力', '「哇啊，是猫娘开的章鱼烧店！主人你看，好稀奇喔！」']
219. ['香草', '「真的呢。好可爱的小猫咪。」']
220. ['None', '只见摊子前有个年纪看起来比巧克力跟香草要小的猫娘正挥著小手在招揽客人，']
221. ['None', '那副模样十分惹人怜爱。']
222. ['None', '小猫娘的外表看起来大约是人类的12～3岁，']
223. ['None', '换算成猫的年纪大约是六个月左右吧。']
224. ['None', '小猫娘一见到我们三个，立刻就凑了上来。']
225. ['摊位上的猫', '「是猫咪姐姐！跟人家一样耶，喵喵♪」']
226. ['巧克力', '「对呀，我们一样都是猫娘喔～喵喵♪」']
227. ['巧克力', '「要不要巧克力来帮妳搔搔喉咙呀～咕噜咕噜～♪」']
228. ['香草', '「小猫咪天真无邪的模样最可爱了。一百分。」']
229. ['香草', '「让人忍不住想摸摸她的头呢。好乖喔～」']
230. ['店主', '「不好意思啊，家里的猫给三位添麻烦了。」']
231. ['店主', '「这两位是客人家养的猫？」']
232. ['None', '章鱼烧摊的店主见状，也热情地和我们打了声招呼。']
233. ['嘉祥', '「是啊，她们两个是我……」']
234. ['嘉祥', '「啊，正确来说应该是我妹妹养的。」']
235. ['店主', '「她们俩长得很可爱呢！」']
236. ['店主', '「而且聪明又有礼貌，话也说得很好。」']
237. ['店主', '「我家这孩子现在才七个月大，」']
238. ['店主', '「不知道再大一点是不是也会变得跟她们俩一样落落大方？」']
239. ['None', '见到自己家猫娘玩开来的模样，店主不禁露出苦笑。']
240. ['None', '只从店主的神情很容易就能看出她到底有多疼这只小猫。']
241. ['嘉祥', '「我们家的猫都是外面捡回来的，老实说我也不太清楚她们的正确岁数。」']
242. ['嘉祥', '「兽医是告诉我这对双胞胎大概有九个月大啦。」']
243. ['嘉祥', '「老实说我家小妹简直是个教育妈妈，」']
244. ['嘉祥', '「看来她从小教起还是有成果的。」']
245. ['巧克力', '「时雨一直都很用心在教我们喔！」']
246. ['巧克力', '「她说要当个好孩子！」']
247. ['香草', '「时雨很严格。不过多亏有她我们才能学到许多东西。」']
248. ['店主', '「真的呀？真是个好主人呢。」']
249. ['巧克力', '「啊，不过主人才是主人哟！」']
250. ['巧克力', '「因为时雨是时雨嘛！对不对，主人？」']
251. ['香草', '「她的意思是，时雨是最重要的好朋友，」']
252. ['香草', '「而我们会用“主人”称呼的，就只有这边这位主人而已。」']
253. ['店主', '「啊哈哈。这位主人看起来挺受欢迎的喔？」']
254. ['嘉祥', '「这个嘛，感觉是不坏啦……」']
255. ['None', '店主突然用手肘戳了我两下，害得我十分尴尬。']
256. ['None', '于是我只好苦笑著回答。']
257. ['None', '……老实说，在外面被人这么讲还真令人有点不好意思呢。']
258. ['巧克力', '「小猫咪，把头抬起来一下好不好？」']
259. ['摊位上的猫', '「咪呜？这样吗？」']
260. ['香草', '「有空隙。咕噜咕噜咕噜～♪」']
261. ['摊位上的猫', '「咕噜咕噜咕噜～♪」']
262. ['None', '见到三只猫娘愉快地玩在一起，']
263. ['None', '身旁的店主露出了微笑。']
264. ['店主', '「……其实，我家这孩子也是捡回来的。」']
265. ['店主', '「那天我就像今天一样在这里卖章鱼烧，刚好看见她饿著肚子盯著我这边直流口水。」']
266. ['店主', '「后来就被我收留下来，现在已经跟我的女儿没两样了。」']
267. ['店主', '「你看她还会帮我作生意呢。」']
268. ['店主', '「虽然人型猫曾经风靡一时……」']
269. ['店主', '「不过要养育她们，毕竟还是得花上比普通猫多好几倍的工夫。」']
270. ['None', '店主叹著气说道，']
271. ['None', '话中似乎参杂著几分责备，也或许是几分困扰。']
272. ['None', '明明一阵子之前还能看到许多人型猫在街上走动的模样，']
273. ['None', '但是到现在还在饲养的几乎只剩下爱好家而已了。']
274. ['None', '不过这样的现象也使得遭遇不幸的猫相对减少，']
275. ['None', '对我们这些人型猫的饲主来说反而值得庆幸也说不定。']
276. ['店主', '「虽然我对那些不负责任的人们实在没什么好感……」']
277. ['店主', '「不过，毕竟是托了那些人的福我才有办法跟我这个可爱的小女儿相遇，所以也没办法说些什么啦。啊哈哈。」']
278. ['None', '店主爽朗地笑了起来，笑声中感受不到任何恶意。']
279. ['None', '听完店主的话，我不禁点头同意。']
280. ['嘉祥', '「……这样也不错啊。」']
281. ['None', '不止猫娘，我想大多数的宠物们都是这样和牠们命中注定的人相遇的吧。']
282. ['None', '我一面思考著这些不符我形象的事，一面笑著回答。']
283. ['摊位上的猫', '「啊，对了！」']
284. ['摊位上的猫', '「大姐姐们要不要尝尝看我们家的章鱼烧呢？」']
285. ['摊位上的猫', '「里面有好大块的章鱼，而且热腾腾的超～级好吃喔！」']
286. ['巧克力', '「超级好吃的章鱼烧……！」']
287. ['巧克力', '「啊呜……可是我们等等就要回去吃饭了……」']
288. ['香草', '「嗯，今天主人要亲自下厨作饭给我们吃……所以对不起喔……」']
289. ['None', '巧克力与香草难过地垂下头来。']
290. ['None', '见到她们俩这副模样，我从后面揉了揉两人的头，']
291. ['None', '然后对著小小店员说道：']
292. ['嘉祥', '「那，可以给我们三盒章鱼烧吗？」']
293. ['摊位上的猫', '「三盒章鱼烧？」']
294. ['None', '小猫娘眨了眨她的大眼睛，歪著头问道。']
295. ['嘉祥', '「没错。我的，还有巧克力跟香草的份。」']
296. ['嘉祥', '「可以麻烦妳吗？」']
297. ['摊位上的猫', '「好的！三盒章鱼烧是吗！」']
298. ['摊位上的猫', '「主人～！这边的客人要三盒章鱼烧～！」']
299. ['巧克力＆香草', '『「主人……！」』']
300. ['嘉祥', '「现在回去作饭还得花上好一段时间，」']
301. ['嘉祥', '「再说我也想尝尝看这里的章鱼烧嘛。」']
302. ['巧克力', '「真的吗！巧克力的肚子从刚才开始就已经饿得咕咕叫的说！真是太棒了！」']
303. ['香草', '「主人真帅气……！」']
304. ['香草', '「也难怪时雨总是把『有个傲娇亲哥哥真不错♪』这句话挂在嘴边了……！」']
305. ['嘉祥', '「给我等等，我怎么没听说过!?」']
306. ['店主', '「知道啦。那就麻烦客人从这里的菜单上选个自己喜欢的口味吧。」']
307. ['店主', '「看在三位客人刚刚跟我们家小猫玩得那么开心的份上，就算你们便宜点吧！」']
308. ['巧克力', '「哇──！太谢谢妳了！」']
309. ['巧克力', '「巧克力喜欢有美乃滋的！」']
310. ['香草', '「多谢招待。那么我要明太子起司。」']
311. ['None', '结果我的疑问就这么不了了之。']
312. ['None', '……也罢，这种事还是少放在心上比较好。']
313. ['None', '我一面思考著这些无关紧要的事，']
314. ['None', '一面看著巧克力和香草在摊位前兴奋不已的样子。']
315. ['嘉祥', '「……还是打不通。」']
316. ['嘉祥', '「难不成是今天有客人吗……？」']
317. ['None', '时钟的指针指著晚上10点。']
318. ['None', '在那之后我又打了几次电话，但是时雨通通没有接。']
319. ['None', '然后就这么到了现在。']
320. ['嘉祥', '「……我还是第一次那么久连络不上时雨。」']
321. ['None', '再说我根本就不知道老家平时的行程……']
322. ['巧克力', '「主人～主人～」']
323. ['巧克力', '「我们好久没跟主人一起洗澡了呢！现在还附赠巧克力的刷背服务喔♪」']
324. ['香草', '「自从我们开始发育以后，主人就不让我们跟进浴室了。主人大色狼。」']
325. ['嘉祥', '「说什么呢，明明发育就没好到哪里去。」']
326. ['巧克力', '「主、主、主人你说什么!?」']
327. ['巧克力', '「明明连时雨都称赞巧克力跟香草已经是亭亭玉立的淑女猫的说！」']
328. ['香草', '「主人刚刚的发言践踏了我们猫娘的尊严，我们可以告你性骚扰喔。」']
329. ['香草', '「而且，巧克力现在这样的身材刚刚好。」']
330. ['嘉祥', '「明明就是香草妳先起哄的。」']
331. ['嘉祥', '「总之妳们俩个别闹了，赶快收一收准备回家吧。」']
332. ['巧克力', '「喵？准备回家？」']
333. ['巧克力', '「巧克力的家就是主人的家啊？」']
334. ['香草', '「而巧克力的身旁就是我的家。」']
335. ['香草', '「倒是今天主人莫名的有男子气概。简直帅到不行。」']
336. ['嘉祥', '「就算来这套也没用。别想跟我打迷糊帐。」']
337. ['None', '我强迫两只想要把话题扯开的猫面向我。']
338. ['嘉祥', '「因为连络不上时雨，所以就由我亲自把妳们送回老家。」']
339. ['嘉祥', '「去准备行李吧。」']
340. ['巧克力＆香草', '『「…………」』']
341. ['None', '巧克力与香草纷纷低下头来。']
342. ['None', '离开家当天马上就回去露脸──']
343. ['None', '虽然我一直在犹豫该不该避开这个最愚蠢的事态，']
344. ['None', '但是比起我的自尊，还是她们俩的幸福比较重要。']
345. ['None', '所以也由不得我任性了。']
346. ['None', '我对著沉默的两人继续说道：']
347. ['嘉祥', '「听好了，我要开始在这里开店，没有人知道今后会发生什么事。」']
348. ['嘉祥', '「既没有人可以依靠，将来的路又是一片模糊，」']
349. ['嘉祥', '「在这种状况下，妳们觉得我可能有心力照顾妳们吗？」']
350. ['嘉祥', '「或者应该说，我连照顾自己都来不及了──」']
351. ['巧克力', '「…………要。」']
352. ['None', '巧克力依然低著头，']
353. ['None', '用我听不见的声音不知道在嘟囔什么。']
354. ['嘉祥', '「嗯？妳说什么？」']
355. ['None', '我凑上前又问了一次。']
356. ['巧克力', '「不要──！巧克力绝对不要回去──!!」']
357. ['巧克力', '「巧克力最讨厌讲这种话的主人了啦────!!!」']
358. ['嘉祥', '「呜哇!?啊，等等！喂，巧克力……!?」']
359. ['香草', '「我也像脱兔一样，不对像脱猫一样逃走」']
360. ['嘉祥', '「啊！可恶，等一下！」']
361. ['嘉祥', '「不要连香草都跟著跑啊!!」']
362. ['巧克力', '「来啊来啊主人～巧克力在这里哟～？」']
363. ['巧克力', '「快点来抓巧克力吧～啊哈哈哈♪」']
364. ['嘉祥', '「不要乱跑，很危险的！要是跌倒受伤了怎么办！」']
365. ['香草', '「不用担心。就算我们是人型，不过劝主人可别小看猫的本事。咻咻咻。」']
366. ['嘉祥', '「先不提巧克力，妳不是一向最没有运动神经的吗！」']
367. ['嘉祥', '「嘿！抓到妳了，巧克力！」']
368. ['巧克力', '「喵──!!主人你在摸哪里啦！大色狼!!」']
369. ['香草', '「主人你的手完完全全放在巧克力胸部上呢。用“一手掌握”来形容也不为过。」']
370. ['嘉祥', '「别、别误会好不好！还不是妳们两个到处乱跑的缘故!!」']
371. ['巧克力', '「喵～有空隙！」']
372. ['嘉祥', '「咦，啊，给我等一下！还想逃！」']
373. ['嘉祥', '「可恶，抓到香草了！」']
374. ['巧克力', '「咕叽咕叽咕叽～♪」']
375. ['嘉祥', '「等等，住手啊巧克力！这样犯规哈哈哈哈巧克力等哇哈哈哈哈哈!!」']
376. ['香草', '「干得好，巧克力。咻咻。」']
377. ['嘉祥', '「不要跑──────!!!!」']
378. ['None', '就在我被这两只不听话的猫给搞得晕头转向的同时，']
379. ['None', '搬到新家来的第一晚就这么过去了。']
380. ['嘉祥', '「总之今天让妳们住一晚是没问题……」']
381. ['嘉祥', '「但是我这里可没有给客人用的床和棉被喔？」']
382. ['None', '就在我们胡闹的时候，时间不知不觉已经超过晚上11点，快到午夜了。']
383. ['None', '就算现在带她们回家，家里的人也应该都睡了吧。']
384. ['None', '结果我唯一的希望──时雨到最后还是没有打来，']
385. ['None', '只好明天一早我自己带她们回去了。']
386. ['巧克力', '「人家要睡主人的床～♪」']
387. ['香草', '「那么我也只好勉为其难地睡在主人床上了。」']
388. ['None', '……居然连睡衣都准备得好好的。']
389. ['None', '这两个小家伙到底是计划得多详细啊……']
390. ['嘉祥', '「这样啊。那妳们睡觉的时候，我要睡哪里？」']
391. ['巧克力', '「咦咦!?我们都这么说了，主人你还不跟我们一起睡吗!?」']
392. ['香草', '「身为男人，主人你就认命吧。顺序是主人→巧克力→我就好。」']
393. ['巧克力', '「喵哈哈～♪睡在主人跟香草中间，巧克力真幸福～♪」']
394. ['嘉祥', '「不要擅自决定。」']
395. ['嘉祥', '「再说一张床睡三个人未免也太窄了点吧。」']
396. ['巧克力', '「那这样吧。既然是巧克力跟香草不请自来，我们今晚睡这里就好了。」']
397. ['巧克力', '「反正我们是猫，睡觉的时候可以缩成一团。」']
398. ['香草', '「看我们两个多没有要求，多惹人怜爱。简直就是猫娘的典范。」']
399. ['None', '在连窗帘都没有的空房间里，']
400. ['None', '两只猫就这么缩在房间一角。']
401. ['嘉祥', '「……与其说是怜爱，不如说是可怜吧。」']
402. ['巧克力', '「既然才刚搬完家，应该还有不少纸箱吧？」']
403. ['香草', '「听说用纸箱作的小屋睡起来很温暖，我想应该没问题。」']
404. ['嘉祥', '「只有特定身分的人才会这么做啦。」']
405. ['None', '真不知道这两只猫是从那学到这些知识的。']
406. ['None', '不过想想其实也挺合理，毕竟她们时常在时雨的房间里看书看电视嘛。']
407. ['None', '虽然对汉字不太行的巧克力几乎只看绘本就是了。']
408. ['嘉祥', '「算了，妳们就睡我的床吧。」']
409. ['嘉祥', '「四月的夜晚还是很容易著凉的。」']
410. ['巧克力', '「那主人要睡哪里？巧克力旁边？」']
411. ['嘉祥', '「我睡客厅的沙发就好。」']
412. ['嘉祥', '「反正沙发可以容得下一个人，而且又有空调。」']
413. ['巧克力', '「不可以！这样的话还不如让巧克力睡沙发！」']
414. ['巧克力', '「床铺留给主人跟香草睡就好了！」']
415. ['香草', '「我比较喜欢睡沙发。床铺还是给巧克力和主人睡吧。」']
416. ['None', '只见两人三步并两步地凑到我身边来。']
417. ['None', '我摸摸她们俩的头，接著说道：']
418. ['嘉祥', '「听好了。今天我睡沙发，妳们两个睡我房间。」']
419. ['嘉祥', '「这是主人的命令。听到没？」']
420. ['巧克力', '「啊呜……主人……」']
421. ['香草', '「主人……」']
422. ['None', '我故意对两人采取强硬态度。']
423. ['None', '虽然巧克力和香草似乎有什么话想说，']
424. ['None', '不过最后还是满脸歉意地垂下头来。']
425. ['巧克力', '「……真的很对不起，主人。」']
426. ['香草', '「……对不起，主人。」']
427. ['None', '勉强挤出来的声音，以及快要哭出来的表情──']
428. ['None', '两人率直的感情表现，']
429. ['None', '让我的内心不断受到罪恶感所苛责。']
430. ['None', '我无奈地叹了口气，然后拍拍她们俩的头。']
431. ['嘉祥', '「来吧，我带妳们到房间去。」']
