1. ['时雨', '「……看来是过劳呢。总之哥哥您还是先安静休养一阵子吧。」']
106. ['时雨', '「不过，猫娘是很聪明的。而且聪明到能够成为人类的家人，甚至是伴侣。」']
107. ['时雨', '「所以……」']
108. ['None', '说到这里，时雨停了一会儿，']
109. ['None', '对我露出有点困扰的笑容。']
110. ['时雨', '「……得不到家人的依赖其实是很寂寞的一件事喔？」']
111. ['None', '看见她的笑容，我顿时感到胸中一紧。']
112. ['None', '难不成她把自己和巧克力、香草重叠在一起了？']
113. ['None', '不，这想必是时雨自身的体验吧。']
114. ['None', '那道笑容在我心中激起一道涟漪，让我一句话也说不出来。']
115. ['时雨', '「不过，这种爱逞强的性格也算是哥哥的优点之一。」']
116. ['嘉祥', '「……可以的话，我倒是希望妳可以用『可靠』两个字来形容我。」']
117. ['时雨', '「我可不觉得一个会把自己累到过劳的人称得上可靠喔？嘻嘻嘻。」']
118. ['时雨', '「……哥哥从以前就是这样，总是把事情都闷在心里呢。真是的。」']
119. ['None', '接著，时雨像是在安抚任性小孩一般，']
120. ['None', '坐到我身旁笑著用手轻抚我的脸。']
121. ['None', '从她细小的手掌中传来一道既温柔又温暖的感觉，']
122. ['None', '让我感到原本僵硬的肩膀顿时放松不少。']
123. ['时雨', '「啊，哥哥不好意思，我有电话……」']
124. ['时雨', '「…………啊。」']
125. ['None', '只见她对著手机萤幕皱起眉头。']
126. ['None', '见到时雨呆在原地的模样，我很快就察觉到电话是谁打来的。']
127. ['嘉祥', '「是老家打来的对不对？快点接起来吧。」']
128. ['时雨', '「……不用接我也知道家里找我有什么事。毕竟我什么也没有说就跑出来了。」']
129. ['嘉祥', '「…………」']
130. ['None', '不久，时雨手上的手机不再继续响，']
131. ['None', '而时雨只是维持著刚才的姿势，']
132. ['None', '一声不吭地紧紧握住手机。']
133. ['时雨', '「……因为我还只是个小女孩吗？」']
134. ['时雨', '「还是因为我是个不懂世事的小孩子？」']
135. ['时雨', '「只因为这样，我就必须对父亲大人跟母亲大人的话言听计从吗？」']
136. ['时雨', '「……我想要待在这里。」']
137. ['时雨', '「至少，在哥哥因病所苦的时候……我想要待在哥哥身边……」']
138. ['时雨', '「身为哥哥的妹妹，想要待在家人身边真的是那么不可原谅的事吗？」']
139. ['None', '时雨低著头，沉稳地、明确地对我倾诉出自己的心声。']
140. ['None', '她的语气中仿佛透露出些许悔恨，又仿佛带了些寂寞。']
141. ['嘉祥', '「……时雨真是个小傻瓜呢。」']
142. ['嘉祥', '「什么可不可原谅的，根本就不需要把事情想得那么夸张啊？」']
143. ['时雨', '「哥哥……」']
144. ['None', '我坐起身子，将低著头的时雨揽在怀里。']
145. ['None', '而时雨也乖乖地将头靠在我的胸前。']
146. ['嘉祥', '「我会乖乖听妳的话躺在床上休息。」']
147. ['嘉祥', '「而且这里还有巧克力和香草在，不会有问题的。」']
148. ['嘉祥', '「刚刚妳自己不也是这么说的吗？」']
149. ['None', '我尽可能用最平稳的口气在时雨耳边轻声说道。']
150. ['None', '我很高兴她愿意这么依赖我，']
151. ['None', '不过正因为如此，']
152. ['None', '我才更不想让时雨用跟我一样的笨拙方法离开家。']
153. ['None', '事实上时雨的确还是个小孩子，家庭对她来说是必要的。']
154. ['None', '不可以让她走上跟我一样的路。']
155. ['嘉祥', '「要是被家里发现行踪，妳就没办法再来玩了吧？」']
156. ['嘉祥', '「这样一来我也会很寂寞的。」']
157. ['时雨', '「……哥哥是说真的吗？」']
158. ['嘉祥', '「当然了，我有必要说谎吗？」']
159. ['时雨', '「呵呵，这种说服方式还真有哥哥的风格呢？嘻嘻嘻……」']
160. ['None', '时雨开心地笑了出来。']
161. ['None', '这种事情以她的聪明才智应该不需要我来提醒，']
162. ['None', '即使如此她还是轻轻对我点了点头。']
163. ['时雨', '「相对的，明天我也会来喔？」']
164. ['时雨', '「毕竟有本事照顾哥哥的人只剩下我一个而已了嘛。」']
165. ['嘉祥', '「嗯，麻烦妳了。」']
166. ['None', '时雨加强抱住我的力道，然后开始用脸蹭起我的胸口。']
167. ['None', '……时雨这个样子看起来简直跟巧克力和香草没什么两样呢。']
168. ['None', '我将这句话吞回喉咙，接著也回送了时雨一个拥抱。']
169. ['巧克力', '「喵～！时雨跟主人在打情骂俏被我抓到了！」']
170. ['香草', '「居然把关店的工作推给我们，自己趁虚而入……！」']
171. ['时雨', '「哼哼哼，这可是身为妹妹的特权哟？」']
172. ['时雨', '「哥哥～咕噜咕噜咕噜～♪」']
173. ['巧克力', '「喵～人家也要搔喉咙～！主人，搔搔人家的喉咙嘛！」']
174. ['香草', '「那我当然也得搭上这波潮流了。」']
175. ['香草', '「来吧主人，随便你要怎么搔都行。」']
176. ['嘉祥', '「等等，不要三个人一起来……！很重耶……！」']
177. ['时雨', '「怎么可以说女孩子重呢。这样很失礼喔，哥哥？」']
178. ['香草', '「我们三个都属于体重相对比较轻的类型，所以不要紧的。」']
179. ['巧克力', '「这就是爱情的重量喔？所以主人你就稍微忍耐一下吧～♪」']
180. ['嘉祥', '「呜啊……！等等，我是病人，是病人啊……！」']
181. ['None', '三人份的爱简直压得我喘不过气。']
182. ['时雨', '「之后的事就交给妳们啰，巧克力、香草。」']
183. ['巧克力', '「没问题，交给我们吧！」']
184. ['香草', '「只要有我们两只带铃猫在，一切都没问题。」']
185. ['时雨', '「说得也是。那就拜托妳们了。」']
186. ['时雨', '「那么哥哥，我们明天见。」']
187. ['嘉祥', '「嗯，抱歉没办法送妳出去。明天见了。」']
188. ['None', '时雨对我轻轻挥了挥手，']
189. ['None', '接著身影便消失在门后。']
190. ['嘉祥', '「呼……」']
191. ['None', '我将自己埋进一旁的沙发里。']
192. ['None', '时雨一离开，']
193. ['None', '我为了不让她担心而装出来的态度马上就瓦解殆尽。']
194. ['巧克力', '「主人，要不要紧？」']
195. ['香草', '「主人，没事吧？」']
196. ['嘉祥', '「嗯，没事。只是有点站不住脚而已。」']
197. ['None', '见到巧克力与香草用担心的眼神望著我看，']
198. ['None', '我勉强用笑容回答她们。']
199. ['嘉祥', '「……别摆出那种表情嘛。」']
200. ['嘉祥', '「这点疲劳只要睡一觉就会好了，」']
201. ['嘉祥', '「时雨刚刚不也是这么说的吗？」']
202. ['None', '说完，我摸了摸两人的头。']
203. ['巧克力', '「可是……还是去医院看一下比较好吧？」']
204. ['香草', '「以前我们准备考试的时候有学过，当主人遇上意外不能动时必须快点叫救护车。」']
205. ['嘉祥', '「不要紧，没有严重到需要叫救护车啦。」']
206. ['嘉祥', '「再说我们好不容易招揽到那么多客人，」']
207. ['嘉祥', '「要是有一天店门口突然停了台救护车，客人看了也不舒服吧？」']
208. ['巧克力', '「主人……」']
209. ['香草', '「主人……」']
210. ['None', '两人露出了比刚才还要担心的表情。']
211. ['None', '只见她们两个张著嘴好像想要说些什么，']
212. ['None', '但最后依然没有把话说出口，只是默默地低下头去。']
213. ['巧克力', '「……对不起，太难的事情我们实在不懂。」']
214. ['香草', '「就算考上带铃猫资格，我们还是没办法了解人类的想法。」']
215. ['嘉祥', '「……傻瓜，有什么好道歉的呢？」']
216. ['None', '我把两只哭丧著脸的猫娘抱进怀中。']
217. ['None', '不知道该怎么安慰她们的懊恼感，']
218. ['None', '让我不禁加深了抱住两人的力道。']
219. ['巧克力', '「就算什么都没办法做，我们还是可以待在主人身边……！」']
220. ['巧克力', '「就像以前主人待在我们身边一样……」']
221. ['香草', '「看著主人这么难过的样子，我们也很难过……」']
222. ['香草', '「如果有什么我可以做的，尽管说……？」']
223. ['None', '两人对我回以拥抱。']
224. ['None', '同时，她们直率的话语和体温也为我心中形成了一道暖流。']
225. ['时雨', '「不过，猫娘是很聪明的。而且聪明到能够成为人类的家人，甚至是伴侣。」']
226. ['时雨', '「……得不到家人的依赖其实是很寂寞的一件事喔？」']
227. ['None', '……啊啊，原来如此。']
228. ['None', '有家人、有伴侣在或许就是这么回事吧。']
229. ['None', '我闭上眼，感受著心爱猫娘的温暖。']
230. ['None', '两人纯粹的爱情在心中扩散开来，']
231. ['None', '不断刺激著我的泪腺。']
232. ['嘉祥', '「……那么，拜托妳们待在我身边好吗？」']
233. ['嘉祥', '「只要妳们两个待在我身边，这样就够了。」']
234. ['巧克力', '「没问题。这种事还用主人你说吗。」']
235. ['香草', '「现在就算叫我们离开，我们也不会离开了。」']
236. ['None', '两人再度加深抱著我的力道，']
237. ['None', '而我也使劲给了她们俩一个拥抱。']
238. ['嘉祥', '「……嗯，谢谢妳们。」']
239. ['None', '现在，我的身体已经不再是我自己一个人的而已了。']
240. ['None', '看来我得早点把身体养好，别再让她们俩担心了。']
241. ['None', '在忘我地抱紧巧克力与香草的同时，我暗自在心中做下决定。']
242. ['嘉祥', '「呜……哈啊……哈啊……嗯……」']
243. ['巧克力', '「主人……不要紧吧，主人……！」']
244. ['香草', '「39℃……主人比刚才烧得更厉害了……」']
245. ['巧克力', '「明明好不容易才睡著的说……主人看起来好难过的样子……」']
246. ['香草', '「药……可是时雨说到隔天早上之前不能再吃第二次……」']
247. ['None', '现在时间刚过午夜，']
248. ['None', '两人除了在主人呻吟的时候帮他擦擦汗、']
249. ['None', '以及握著主人的手让他多少安心下来之外什么都做不到。']
250. ['巧克力', '「怎么办，有没有什么好办法……！？」']
251. ['香草', '「光靠我们两个什么都办不到……真不甘心……」']
252. ['嘉祥', '「巧克……力…………香……草……」']
253. ['巧克力', '「在这里……！巧克力就在这里……！」']
254. ['香草', '「还有我，香草也在喔……？我们会好好陪著主人的……！」']
255. ['None', '虽然想为主人做些什么，但是却什么都没办法做。']
256. ['None', '悔恨化成了泪水在眼眶里打转。']
257. ['None', '主人平时那双强而有力的大手，现在握著自己的力道居然是那么的无力。']
258. ['None', '这个事实让两人的内心感到十分难受。']
259. ['巧克力', '「……我们到医院去叫医生过来吧。」']
260. ['巧克力', '「虽然不能叫救护车，不过请医生过来应该没关系吧……？」']
261. ['香草', '「……嗯，我也是这么想。」']
262. ['香草', '「说到这附近的医院……」']
263. ['巧克力', '「如果是这里的药治不好的病，就要去隔壁看医生对不对？」']
264. ['巧克力', '「不愧是人类的文明，真是方便到家了～♪」']
265. ['巧克力', '「……记得是在我们常去的药局隔壁对不对？」']
266. ['香草', '「嗯。现在主人在生病，所以轮到我们出面了。」']
267. ['None', '两人互相点了点头，站起身来。']
268. ['巧克力', '「……对不起，主人。我们要打破跟主人的约定了。」']
269. ['香草', '「到时候你要我们怎么道歉都没关系，可是看见喜欢的人这么痛苦的模样，我们真的没办法坐视不管。」']
270. ['巧克力', '「等我们一下喔，主人。我们马上就会带医生回来的！」']
271. ['巧克力', '「呼、呼、呼……！」']
272. ['香草', '「呼、呼……！巧克力，不要紧吧……？」']
273. ['None', '两只猫娘手牵著手飞奔过无人的公园。']
274. ['None', '即使快要喘不过气，脚也痛得要命，两人依然没有停下脚步。']
275. ['None', '哪怕只有一秒也好，必须早点抵达医院才行。']
276. ['None', '为此，两人只是拼命地跑著，一刻也舍不得休息。']
277. ['巧克力', '「呼、呼……！嗯……没、没问题……！」']
278. ['巧克力', '「比起这个，我们得快点才行……！」']
279. ['香草', '「嗯。加油，巧克力……！还差一点点就到医院了……！」']
280. ['香草', '「还差一点点……我们就可以回到主人身边去了……！」']
281. ['香草', '「呼、呼、呼……！门是关著的……！？」']
282. ['巧克力', '「怎么会……！都已经来到这里了说……！？呼、呼……」']
283. ['巧克力', '「呜呜……！怎么办，这下该怎么办……！？」']
284. ['巧克力', '「巧克力已经不知道……不知道该怎么办才好了……！」']
285. ['香草', '「我们又不知道其它医院的位置……就算想找人问，现在街上也没有人……」']
286. ['香草', '「可是又不能就这样回去……到底该怎么办……」']
287. ['None', '两人只能不安地握住彼此的手，']
288. ['None', '咬著下唇抬头仰望眼前冰冷的铁卷门。']
289. ['警察', '「妳们两个在做什么？」']
290. ['巧克力', '「啊……警察先生！」']
291. ['巧克力', '「可以告诉我们有哪间医院还开著吗！？」']
292. ['巧克力', '「主人现在病得很重！我们是出来找医生的！」']
293. ['香草', '「可是偏偏医院休息，我们实在不知道该怎么办才好……」']
294. ['警察', '「妳们的饲主吗？那可真糟糕。不过……」']
295. ['警察', '「妳们的铃铛呢？没有带出来吗？」']
296. ['巧克力＆香草', '「啊……！」']
297. ['None', '被这么一说，两人连忙用手摸摸脖子。']
298. ['巧克力', '「那个，其实我们平常都是一直戴在身上的……！」']
299. ['香草', '「是因为我们照顾主人的时候怕铃声吵到主人，所以才会拿下来……！」']
300. ['警察', '「总之可以请妳们跟我来一趟吗？」']
301. ['警察', '「只要连络上饲主妳们马上就可以回去了。好不好？」']
302. ['巧克力', '「铃铛只是放在家里而已！是真的，我们没有骗你！」']
303. ['巧克力', '「为了主人，巧克力必须快点带医生回去才行！」']
304. ['香草', '「主人现在还难过的躺在病床上，我们非回去不可！」']
305. ['香草', '「所以现在没有办法跟你走……！拜托，请你谅解……！」']
306. ['警察', '「对不起喔，可是有些猫娘会假借跟妳们一样的理由逃跑，」']
307. ['警察', '「而且最近利用猫娘来犯罪的人越来越多……」']
308. ['警察', '「所以局里规定，只要看见没有铃铛的猫娘独自在外就必须先带回去盘查。」']
309. ['警察', '「我们很快就会查明妳们的身分然后跟主人连络，好不好？」']
310. ['香草', '「就说了铃铛放在家里……！」']
311. ['警察', '「而且，妳们是带铃猫的话，应该懂得主人出事的话要叫救护车吧？」']
312. ['巧克力', '「这、这个我们在准备考试的时候是有学过……」']
313. ['巧克力', '「可是，是主人叫我们不要叫救护车的……！」']
314. ['香草', '「因为我们家有在经营店面……！」']
315. ['香草', '「所以主人说不可以让客人感到不安……」']
316. ['警察', '「嗯，嗯。妳们说的我都知道，所以待会就会请主人过来接妳们啦～」']
317. ['巧克力', '「主人曾经说过他很依赖我们两个！」']
318. ['巧克力', '「所以我们非得回到主人身边不可！」']
319. ['香草', '「主人说他想要一直跟我们在一起……！我们已经约好了……！」']
320. ['香草', '「所以我们没办法跟你走……我们必须赶快回主人身边才行……！」']
321. ['警察', '「我知道，可是真的只要一下下就好，拜托妳们跟我来一下好吗？」']
322. ['巧克力', '「不行！巧克力除了主人身边以外哪里都不去！」']
323. ['香草', '「对不起，现在我们真的不能跟你走……！」']
324. ['警察', '「可是这是规定，我一定得带妳们回局里一趟……」']
325. ['嘉祥', '「巧克力！香草！」']
326. ['巧克力', '「主人……！？为什么，为什么……！？」']
327. ['香草', '「主人……！？你怎么……！？」']
328. ['嘉祥', '「呼……呼……呼……」']
329. ['嘉祥', '「还不是……因为我爬起来就不见妳们人影……」']
330. ['嘉祥', '「妳们两个搞什么啊……真是的……哈啊啊～……」']
331. ['None', '喘著大气的同时，']
332. ['None', '我忍住晕眩开始确认她们两个有没有事。']
333. ['嘉祥', '「居然把这么重要的铃铛丢在家里……」']
334. ['嘉祥', '「要是发生什么意外妳们打算怎么办啊，真是的……」']
335. ['None', '知道巧克力和香草没事以后，我费了好一番工夫才撑住发软的双腿，以免就这么跪倒在地上。']
336. ['巧克力', '「可是……！可是……！」']
337. ['香草', '「因为我们觉得，这次应该轮到我们守护主人了……！」']
338. ['嘉祥', '「我知道啦，傻瓜。我气的不是这件事。」']
339. ['None', '我从口袋中拿出金色与银色的铃铛，']
340. ['None', '交给巧克力和香草手上。']
341. ['嘉祥', '「我气的是你们让我操了一堆多余的心。」']
342. ['巧克力', '「可是，主人看起来真的好难过……」']
343. ['巧克力', '「所以我们情急之下就……！」']
344. ['香草', '「看著主人受苦却什么都做不到的感觉真的很难受……」']
345. ['香草', '「因为我们是家人、也是情人……所以，所以我们才会觉得必须为主人做些什么……」']
346. ['None', '呜咽不已的两人抬起头看著我，']
347. ['None', '只见眼泪在她们俩的眼眶里不断打转。']
348. ['嘉祥', '「嗯，我知道。会担心家人是很正常的。」']
349. ['嘉祥', '「所以发现妳们不见以后，我也跟妳们一样急得要命啊。」']
350. ['巧克力', '「主人……！」']
351. ['香草', '「主人……！」']
352. ['嘉祥', '「拜托，别让病人替妳们操太多心好吗……」']
353. ['巧克力', '「对不起……对不起让你担心了，主人……」']
354. ['香草', '「对不起……主人对不起……」']
355. ['嘉祥', '「好好好，没事了。」']
356. ['嘉祥', '「所以妳们别哭了啦。」']
357. ['巧克力', '「呜啊啊……！主人……主人……！」']
358. ['香草', '「呜呜……主人……主人……！」']
359. ['None', '两人不断用手背擦著眼泪，小小的肩膀也不断颤抖著。']
360. ['None', '而我也怜惜地摸著两只心爱猫娘的头。']
361. ['警察', '「既然已经看过两位的铃铛，那么我就先告辞了。」']
362. ['嘉祥', '「不好意思，我们家的猫娘给你添麻烦了。」']
363. ['None', '直到警察先生的背影消失在视线当中后，']
364. ['None', '我才缓缓地转过身子。']
365. ['嘉祥', '「好啦。回我们的家去吧，巧克力、香草。」']
366. ['巧克力', '「好，我们回家吧，主人。」']
367. ['香草', '「嗯。一起回去吧。」']
368. ['None', '在边哭边笑的巧克力与香草搀扶下，']
369. ['None', '我们三个一起踏上了回家的路──']
